time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction,train/std
58,74.50641783,18560,6.75,22960,0,0.2,3435.2490234375,0.00477147102355957,0.013289228,-0.0090411125989192,0.0003,570,-10.776585018634796,6356.329874420166,0.1671875035157427,0.9322625398635864
59,83.97284189,18880,7.35,23278,0,0.2,2020.4322509765625,-0.024976491928100586,0.06418738,0.012691023158538428,0.0003,580,-10.772025889158249,5316.514253997802,0.2996875055367127,0.9362364411354065
60,56.16311277,19200,5.8,23454,0,0.2,3114.98046875,0.00040650367736816406,0.012168931,-0.0086992164210983,0.0003,590,-10.799735030531883,7982.9884798049925,0.22843750454485418,0.9364959001541138
61,46.42809689,19520,5.19,23548,0,0.2,635.4590454101562,0.09150826930999756,0.011791037,-0.01082606683211793,0.0003,600,-10.800499346852302,4590.921308135987,0.10218750210478902,0.936654806137085
62,48.71336305,19840,5.47,23638,0,0.2,1559.7574462890625,-0.10560286045074463,0.010962092,-0.004621860780537191,0.0003,610,-10.80523416697979,4033.8916625976562,0.08281250172294677,0.9383211135864258
63,59.68113355,20160,6.31,23730,0,0.2,1009.95751953125,0.04778397083282471,0.0043657166,-0.004368308130976573,0.0003,620,-10.805100917816162,4485.643505859375,0.017812500265426932,0.9365911483764648
64,54.99022416,20480,5.79,23824,0,0.2,1799.9835205078125,0.01573711633682251,0.01016086,-0.0014435866809208164,0.0003,630,-10.79576503932476,6269.150044441223,0.1034375021001324,0.9359946250915527
65,55.18644961999999,20800,6.36,24282,0,0.2,937.4754638671875,0.045812368392944336,0.012138117,-0.005320362490647312,0.0003,640,-10.78909687101841,4053.200110435486,0.09593750189524144,0.9353542327880859
66,72.88040688,21120,7.34,24376,0,0.2,1050.873779296875,0.029403865337371826,0.008501977,-0.006297820513634633,0.0003,650,-10.770847606658936,4680.609372901917,0.1881250039441511,0.9319403171539307
67,77.43663834,21440,7.67,24476,0,0.2,3233.070068359375,0.004616796970367432,0.012828985,0.004495870383289002,0.0003,660,-10.726574796438218,6454.695543289185,0.27875000522471965,0.9240536689758301
68,75.74469744,21760,7.76,24762,0,0.2,1169.580078125,0.003410816192626953,0.04336437,0.0001057653471661979,0.0003,670,-10.68429745733738,4494.744946289063,0.22281250422820448,0.9222284555435181
69,84.83395403,22080,7.91,24844,0,0.2,2464.7412109375,0.017055392265319824,0.0064812023,-0.0029922371597820075,0.0003,680,-10.67813824415207,5985.569802856446,0.11937500259373338,0.9216939806938171
70,93.74801498000001,22400,8.63,25035,0,0.2,4868.24853515625,0.011924147605895996,0.01490157,-0.008513661487040736,0.0003,690,-10.660068389773368,6036.547898101807,0.19718750389292836,0.9190807342529297
71,80.93532916999999,22720,7.87,25133,0,0.2,2188.369140625,-0.026471972465515137,0.014408039,0.009980601696170766,0.0003,700,-10.643366444110871,5770.178857994079,0.2253125045215711,0.9149477481842041
72,83.96064326,23040,8.21,25225,0,0.2,2379.787109375,0.00013059377670288086,0.007812843,0.02801054581950666,0.0003,710,-10.618707028031348,5565.483596038818,0.3978125057881698,0.9158144593238831
73,75.34851424,23360,7.65,25325,0,0.2,3078.99072265625,-0.01008903980255127,0.018229173,-0.01820613556483295,0.0003,720,-10.61843151152134,5329.132440948486,0.20187500375322998,0.9152987003326416
74,75.46663584,23680,7.53,25411,0,0.2,3784.942626953125,0.02177375555038452,0.011120366,-0.006837342625829024,0.0003,730,-10.628743356466293,6634.092776107788,0.15218750326894223,0.9171232581138611
75,94.18977594999998,24000,8.81,25494,0,0.2,5143.61376953125,0.0035859346389770508,0.008446868,-0.007438552758750916,0.0003,740,-10.640190437436104,5820.167277526855,0.13937500303145497,0.9192606210708618
76,103.0118668,24320,9.68,25583,0,0.2,3547.858642578125,-0.014789342880249023,0.017768316,-0.0001629555725003229,0.0003,750,-10.630960276722908,5719.292795181274,0.2303125049220398,0.914162278175354
77,100.57964039999999,24640,9.81,25676,0,0.2,5641.92333984375,0.0005205273628234863,0.018527286,0.006468215290196611,0.0003,760,-10.608024135231972,6585.492602157593,0.3925000054994598,0.9139901399612427
78,91.63910944999999,24960,8.85,26116,0,0.2,2091.136474609375,0.014515817165374756,0.013851353,-0.008501437264089872,0.0003,770,-10.606065574288369,5766.910301971436,0.07500000151339918,0.9148514270782471
