time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/std,train/learning_rate,train/approx_kl,train/loss,train/n_updates,train/entropy_loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
1,-4.2752885,1,2.0,10,5,,,,,,,,,,,,,
0,-6.778790666666667,2,2.2222222222222223,20,58,-0.0016906858189074114,54.25186347961426,-0.019290804862976074,0.2,0.9781181812286377,0.0003,3.9744376e-05,35.73430252075195,1,-4.191150426864624,0.0,,
0,-6.8047894375,3,1.875,30,65,0.00013802051835654083,86.47412872314453,0.0849258303642273,0.2,0.9779301881790161,0.0003,0.0002106607,37.324180603027344,2,-4.189843416213989,0.0,,
,,,,40,,-0.0015233397251002145,71.1183967590332,0.015542685985565186,0.2,0.9779304265975952,0.0003,7.3808435e-05,41.652915954589844,3,-4.1895952224731445,0.0,1.0,-5.0
0,-5.92665285,4,2.0,40,73,,,,,,,,,,,,,
0,-5.353853679999999,5,2.0,50,79,-0.002092385431751609,110.56019401550293,-0.03324401378631592,0.2,0.97786545753479,0.0003,8.2576276e-05,20.740663528442383,4,-4.189536094665527,0.0,,
0,-3.484277517241379,6,2.0344827586206895,60,94,-0.006692755222320379,77.56656074523926,-0.049597859382629395,0.2,0.9777965545654297,0.0003,8.559823e-05,28.932958602905273,5,-4.189276695251465,0.0,,
0,-2.583477314285714,7,2.0,70,100,-0.0008238971233360814,516.7944183349609,-0.006265997886657715,0.2,0.9777461886405945,0.0003,0.00026239158,297.51422119140625,6,-4.189111709594727,0.0,,
,,,,80,,-0.0008373975870199502,120.26778793334961,0.002221524715423584,0.2,0.9777731895446777,0.0003,0.0001872778,72.70905303955078,7,-4.189010143280029,0.0,4.0,-7.41771399974823
0,-2.4117143157894736,8,2.026315789473684,80,115,,,,,,,,,,,,,
0,-1.9959464285714283,9,2.142857142857143,90,119,0.0001920789538409906,66.91573905944824,0.002900063991546631,0.2,0.9778138399124146,0.0003,5.272627e-05,25.989559173583984,8,-4.189102649688721,0.0,,
