time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/std,train/learning_rate,train/clip_range,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
1,31,40,2.3529411764705883,1,-5.18060894117647,,,,,,,,,,,,,
2,58,80,2.5483870967741935,1,3.3966165806451616,0.16750000305473806,-0.029154539108276367,235.39749174118043,-4.254982209205627,-0.00825738315761555,0.008889366,0.9985393285751343,0.0003,0.2,10,7.977297306060791,,
,,100,,,,0.10500000212341547,-0.000885009765625,1026.2943026542664,-4.248046392202378,-0.018887321576403337,0.017912919,0.996147871017456,0.0003,0.2,20,311.7982482910156,4.0,-20.0
3,173,120,2.2264150943396226,0,-0.09634916981132055,,,,,,,,,,,,,
4,258,160,2.289855072463768,0,-1.7213491739130433,0.1875000037252903,-0.001221776008605957,108.26602344512939,-4.249665433168412,-0.018925866939825942,0.016909325,0.9989637732505798,0.0003,0.2,30,28.182621002197266,,
,,200,,,,0.09250000137835741,0.013291895389556885,66.99910867214203,-4.2563536167144775,-0.005659052773326035,0.014419744,1.0006768703460693,0.0003,0.2,40,1.2816135883331299,4.0,33.98826217651367
5,291,200,2.357142857142857,0,1.5167331785714286,,,,,,,,,,,,,
6,376,240,2.4285714285714284,0,2.228183479591837,0.16250000316649676,-0.0036382675170898438,1613.360829126835,-4.259114307165146,-0.008674966152320851,0.010702431,1.0006742477416992,0.0003,0.2,50,125.09870147705078,,
7,452,280,2.47,0,3.48179087,0.222500004991889,0.004420757293701172,603.5209529399872,-4.253137749433518,-0.02472578964989225,0.022741491,0.9964655637741089,0.0003,0.2,60,844.3909912109375,,
,,300,,,,0.17750000320374965,0.009559094905853271,161.67935289144515,-4.241270542144775,-0.018845343128414238,0.023115342,0.9933144450187683,0.0003,0.2,70,31.066869735717773,1.0,-5.0
8,482,320,2.38,0,1.4190547799999995,,,,,,,,,,,,,
9,558,360,2.4,0,2.606235489999999,0.2025000037625432,-0.0025044679641723633,159.62491413354874,-4.232181984186172,-0.01599456936983188,0.012348056,0.9902748465538025,0.0003,0.2,80,35.228851318359375,,
,,400,,,,0.18250000346451997,0.000436246395111084,554.2707302093506,-4.214019346237182,-0.03136709776255884,0.021946596,0.9815307855606079,0.0003,0.2,90,18.372472763061523,1.0,-5.0
10,585,400,2.42,0,5.17461209,,,,,,,,,,,,,
11,661,440,2.31,0,2.8690614999999995,0.07250000108033419,-0.014748930931091309,306.40512733459474,-4.195415222644806,-0.006286495758949973,0.006619406,0.9789546728134155,0.0003,0.2,100,306.12298583984375,,
12,705,480,2.29,0,5.48598079,0.21000000573694705,-0.007044315338134766,394.7009349107742,-4.188514459133148,-0.021216754789793412,0.018529553,0.9763573408126831,0.0003,0.2,110,32.446815490722656,,
,,500,,,,0.15250000283122062,-0.00162506103515625,3230.314546608925,-4.184193211793899,-0.005543154731458344,0.0097801015,0.9764353632926941,0.0003,0.2,120,6184.21435546875,1.0,-5.0
13,727,520,2.3,0,5.84526082,,,,,,,,,,,,,
14,796,560,2.35,0,7.515978499999999,0.057500000856816766,-0.006456732749938965,119.47388079166413,-4.1803046524524685,-0.00920977233774467,0.011094134,0.9724470973014832,0.0003,0.2,130,12.189886093139648,,
,,600,,,,0.19750000424683095,-0.0019925832748413086,552.5687734842301,-4.166969454288482,-0.01964819307853759,0.019230258,0.9689426422119141,0.0003,0.2,140,676.0798950195312,4.0,15.176960229873657
15,825,600,2.32,0,6.66314754,,,,,,,,,,,,,
16,845,640,2.36,0,9.32958018,0.23000000473111867,0.0005340576171875,231.11160297393798,-4.153234666585922,-0.020560960715920375,0.038963243,0.9624857902526855,0.0003,0.2,150,331.0281982421875,,
