eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/learning_rate,train/value_loss
1.0,40,-5.0,,,,,,,,,,,,,,,,
,40,,0,1,-3.7369548125,58,2.5,,,,,,,,,,,
2.0,80,-10.0,,,,,,13.132596015930176,-0.03402509084902707,10,0.2,-4.251153928041458,-0.010175824165344238,0.9950217604637146,0.012864286,0.22000000439584255,0.0003,125.99955971240998
,80,,0,2,-4.5201247272727265,135,2.393939393939394,,,,,,,,,,,
5.0,120,-6.178236603736877,,,,,,3.6624183654785156,-0.03817516357448767,20,0.2,-4.241903531551361,-0.01659250259399414,0.994766354560852,0.05305585,0.4025000099092722,0.0003,47.882299050688744
,120,,0,3,-4.990474891304348,157,2.5217391304347827,,,,,,,,,,,
5.0,160,3.7744001150131226,,,,,,121.33109283447266,-0.045403671160602246,30,0.2,-4.237203109264374,0.011662840843200684,0.9918811321258545,0.028203469,0.28250000700354577,0.0003,109.61417828202248
,160,,0,4,-5.927223065573771,392,2.5737704918032787,,,,,,,,,,,
4.0,200,8.640304327011108,,,,,,24.935625076293945,-0.03374256833438265,40,0.2,-4.22382282614708,-0.019121289253234863,0.987788200378418,0.036272675,0.39250000976026056,0.0003,27.19149618446827
,200,,0,5,-4.247822769230768,489,2.551282051282051,,,,,,,,,,,
5.0,240,18.513832330703735,,,,,,99.81562805175781,-0.017529200537555845,50,0.2,-4.215834242105484,-0.0007233619689941406,0.9838770627975464,0.0157295,0.08250000160187483,0.0003,200.04814237877727
,240,,0,6,-4.187653186813186,528,2.6153846153846154,,,,,,,,,,,
5.0,280,7.143412187695503,,,,,,17.74164581298828,-0.004839955353963888,60,0.2,-4.199094235897064,-0.02754652500152588,0.9790055751800537,0.008391713,0.19500000402331352,0.0003,61.991000932455066
,280,,0,7,-2.36754706,549,2.65,,,,,,,,,,,
5.0,320,4.972140550613403,,,,,,179.1277313232422,-0.008115806149726268,70,0.2,-4.19355012178421,-0.0040667057037353516,0.9799699783325195,0.014526643,0.09250000175088643,0.0003,328.140960842371
,320,,0,8,-0.7645675100000001,614,2.83,,,,,,,,,,,
4.0,360,10.727376461029053,,,,,,384.6466369628906,-0.027874969492477253,80,0.2,-4.190289264917373,0.0040329694747924805,0.9760900735855103,0.028026555,0.287500006519258,0.0003,388.9135771274567
,360,,0,9,0.2563073999999999,635,2.9,,,,,,,,,,,
5.0,400,38.71995094418526,,,,,,81.25067901611328,-0.044971182490407956,90,0.2,-4.179055213928223,-0.00019848346710205078,0.973475456237793,0.015841722,0.24500000532716512,0.0003,188.5842975616455
,400,,0,10,0.8619349,656,2.96,,,,,,,,,,,
5.0,440,19.275413036346436,,,,,,191.66525268554688,-0.00816590931351131,100,0.2,-4.167239791154861,-0.0017480850219726562,0.9679757952690125,0.008561623,0.05000000074505806,0.0003,228.72980058193207
,440,,0,11,2.766683370000001,677,3.01,,,,,,,,,,,
5.0,480,20.17638874053955,,,,,,18.497873306274414,-0.0235026971319894,110,0.2,-4.153902465105057,-0.002210259437561035,0.9660963416099548,0.020105937,0.26250000614672897,0.0003,179.97931599617004
,480,,0,12,3.80082636,699,3.14,,,,,,,,,,,
3.0,520,13.191715717315674,,,,,,68.1176528930664,-0.0142565536643815,120,0.2,-4.149835681915283,-0.014183878898620605,0.9654868841171265,0.010029769,0.12750000189989805,0.0003,246.82213706970214
,520,,0,13,4.962150879999999,718,3.26,,,,,,,,,,,
