eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/approx_kl,train/std,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/n_updates
-5.0,1.0,40,,,,,,,,,,,,,,,,
,,40,1,39,1,1.8181818181818181,0.18297581818181835,,,,,,,,,,,
51.1861572265625,3.0,80,,,,,,800.2049699187279,-0.027457199596974534,0.2,6.759166717529297e-05,0.017434536,0.9966673851013184,0.1575000027194619,0.0003,1354.0023193359375,-4.250728738307953,10
,,80,0,118,2,2.2285714285714286,-1.5941156571428567,,,,,,,,,,,
46.51717567443848,5.0,120,,,,,,263.3936180591583,-0.03910822623292916,0.2,-0.009163618087768555,0.07714446,0.9879754781723022,0.4225000090897083,0.0003,117.0471420288086,-4.233854067325592,20
,,120,0,149,3,2.4081632653061225,4.831628346938776,,,,,,,,,,,
-5.0,1.0,160,,,,,,1478.5698633670806,-0.02738389238675154,0.2,0.006386399269104004,0.041092515,0.9855055809020996,0.2575000060722232,0.0003,527.7626342773438,-4.2157196521759035,30
,,160,0,176,4,2.388059701492537,8.829283268656717,,,,,,,,,,,
-5.0,1.0,200,,,,,,1067.273182630539,-0.015814546925207652,0.2,-0.0017235279083251953,0.013589104,0.980567216873169,0.09250000156462193,0.0003,628.0939331054688,-4.204015523195267,40
,,200,0,233,5,2.272727272727273,9.383195420454545,,,,,,,,,,,
-5.0,1.0,240,,,,,,731.6954993724823,-0.013581050095035607,0.2,0.001427292823791504,0.012250338,0.9806615710258484,0.1300000024959445,0.0003,1821.86865234375,-4.197013384103775,50
,,240,0,282,6,2.23,8.09907428,,,,,,,,,,,
78.59248113632202,5.0,280,,,,,,292.4458849430084,-0.01606910686328774,0.2,0.003971278667449951,0.031074723,0.9751645922660828,0.26000000573694704,0.0003,387.099365234375,-4.1901679873466495,60
,,280,0,315,7,2.26,12.11846199,,,,,,,,,,,
117.99055480957031,4.0,320,,,,,,951.5185036659241,-0.006638698229580764,0.2,-0.002788066864013672,0.011356122,0.9711398482322693,0.1650000035762787,0.0003,557.9205322265625,-4.173604673147201,70
,,320,0,354,8,2.11,10.84884035,,,,,,,,,,,
8.790721893310547,5.0,360,,,,,,886.8622616767883,-0.016819350642763308,0.2,-0.002314925193786621,0.016866345,0.9660191535949707,0.16250000316649676,0.0003,524.9856567382812,-4.15906497836113,80
,,360,0,451,9,1.95,6.972861639999999,,,,,,,,,,,
21.26517367362976,5.0,400,,,,,,110.34455599784852,-0.020382145215189596,0.2,0.0025156140327453613,0.026488101,0.9640263319015503,0.3150000059977174,0.0003,31.213571548461914,-4.148513340950013,90
,,400,0,504,10,2.06,9.36091927,,,,,,,,,,,
-5.0,1.0,440,,,,,,2082.110325050354,-0.0007738549486839497,0.2,-0.005235552787780762,0.020954542,0.9660614728927612,0.15250000283122062,0.0003,799.4360961914062,-4.150537258386612,100
,,440,0,541,11,2.07,13.585020759999997,,,,,,,,,,,
-18.270967721939087,5.0,480,,,,,,3727.6270857810973,-0.0043349787028273525,0.2,0.004209756851196289,0.02365871,0.9675908088684082,0.39000000786036254,0.0003,199.72874450683594,-4.1547964870929714,110
,,480,0,642,12,2.09,15.33206007,,,,,,,,,,,
226.8254108428955,5.0,520,,,,,,1781.1631448745727,-0.03461963078007102,0.2,-0.0024324655532836914,0.016393844,0.9641664028167725,0.27250000536441804,0.0003,398.0145263671875,-4.151997226476669,120
,,520,0,673,13,2.29,22.93519996,,,,,,,,,,,
60.44533920288086,3.0,560,,,,,,6720.435593986511,-0.0398127317086255,0.2,0.0029296875,0.03080006,0.9634458422660828,0.2025000037625432,0.0003,7583.23583984375,-4.145558023452759,130
,,560,0,715,14,2.35,28.93988981,,,,,,,,,,,
