time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,train/n_updates
1800,-5.0,1.0,,,,,,0.12750000189989805,0.008031308650970459,0.0003,0.0006362129843182629,11853.206352233887,12226.7060546875,-4.103302705287933,0.0058925766,0.9518240690231323,0.2,440
1800,,,45,0,2.3,2207,70.10222363,,,,,,,,,,,
1840,494.6015739440918,5.0,,,,,,0.1450000023469329,-0.008390069007873535,0.0003,-0.006315553421263753,6759.1683547973635,1955.7625732421875,-4.102692753076553,0.019383924,0.9516329765319824,0.2,450
1840,,,46,0,2.21,2233,62.36983986,,,,,,,,,,,
1880,287.15835189819336,5.0,,,,,,0.05000000093132258,0.01930338144302368,0.0003,-0.016339912710900517,12836.852360534667,8817.30859375,-4.101817393302918,0.0089704385,0.9514479637145996,0.2,460
1880,,,47,0,2.16,2262,65.65966654,,,,,,,,,,,
1920,184.53736877441406,4.0,,,,,,0.005000000074505806,-0.013034701347351074,0.0003,-0.0003706651336415234,11202.855763244628,3200.239013671875,-4.100075733661652,0.003743954,0.9506517648696899,0.2,470
1920,,,48,0,2.1,2295,60.462742070000004,,,,,,,,,,,
1960,214.82872009277344,4.0,,,,,,0.18500000461935998,-0.008844375610351562,0.0003,-0.03632586411356897,10755.470495605468,4787.68310546875,-4.0980688571929935,0.025138147,0.9501237273216248,0.2,480
1960,,,49,0,2.09,2593,53.34623428,,,,,,,,,,,
2000,-5.0,1.0,,,,,,0.05000000074505806,0.0023245811462402344,0.0003,-0.018141605077762503,8256.725381469727,1719.4351806640625,-4.096070641279221,0.010957038,0.9494622945785522,0.2,490
2000,,,50,0,2.21,2617,67.52347728,,,,,,,,,,,
2040,-5.0,1.0,,,,,,0.07250000145286321,-0.0047876834869384766,0.0003,-0.007484234818984986,19047.059185791015,6872.0556640625,-4.095082837343216,0.012077844,0.9495697021484375,0.2,500
2040,,,51,0,2.32,2640,74.73304298,,,,,,,,,,,
2080,-9.844866752624512,2.0,,,,,,0.04000000059604645,-0.03141224384307861,0.0003,-0.015497918113796905,13458.60750579834,1995.218505859375,-4.095688116550446,0.012126658,0.9498302936553955,0.2,510
2080,,,52,0,2.32,2664,79.86434809999999,,,,,,,,,,,
2120,-5.0,1.0,,,,,,0.10000000186264515,-0.017168045043945312,0.0003,-0.027038342903151713,20684.491625976563,4167.0205078125,-4.095184695720673,0.019139666,0.9491927027702332,0.2,520
2120,,,53,0,2.51,2688,88.45205572,,,,,,,,,,,
2160,188.45442962646484,4.0,,,,,,0.1350000027567148,0.01868528127670288,0.0003,-0.02547253081211238,15657.032409667969,2256.0185546875,-4.094200599193573,0.016216688,0.949325442314148,0.2,530
2160,,,54,0,2.51,2790,84.61335521000001,,,,,,,,,,,
