time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
328,2752,-18.08902715,3.64,783,0,,,7.144650936126709,678,7.89281702041626,0.001
,,,,800,,-25.0,5.0,8.964486503601075,698,8.534757932027182,0.001
332,2804,-18.3,3.66,803,0,,,,,,
336,2827,-18.25,3.65,819,0,,,6.126299476623535,714,8.499464988708496,0.001
340,2849,-18.25,3.65,839,0,,,7.824882125854492,734,7.9549031257629395,0.001
,,,,840,,-25.0,5.0,6.921063041687011,739,8.064547777175903,0.001
344,2902,-18.45,3.69,859,0,,,2.0424238055944444,754,9.222236315409342,0.001
348,2927,-18.65,3.73,879,0,,,7.095722723007202,774,8.168312549591064,0.001
,,,,880,,-25.0,5.0,13.980088043212891,779,9.170295238494873,0.001
352,2982,-19.05,3.81,899,0,,,23.92373695373535,794,8.49628480275472,0.001
356,3008,-19.45,3.89,919,0,,,17.93476104736328,814,7.959783395131429,0.001
,,,,920,,-25.0,5.0,13.991172504425048,819,9.27601146697998,0.001
360,3057,-19.85,3.97,935,0,,,19.877316617965697,830,10.983976364135742,0.001
364,3080,-20.05,4.01,951,0,,,19.75124912261963,846,7.967355887095134,0.001
,,,,960,,-25.0,5.0,8.086323738098145,857,9.60669231414795,0.001
368,3127,-20.05,4.01,963,0,,,21.756305027008057,862,9.682934125264486,0.001
372,3138,-19.65,3.93,967,0,,,22.250593185424805,866,8.959883689880371,0.001
376,3149,-19.4,3.88,972,0,,,14.168197631835938,870,8.621661186218262,0.001
380,3159,-19.3,3.86,978,0,,,11.524818420410156,877,6.818997383117676,0.001
384,3170,-18.75,3.75,983,0,,,4.836116790771484,882,6.553692817687988,0.001
388,3183,-18.2,3.64,988,0,,,15.494607925415039,887,8.133589744567871,0.001
392,3195,-17.65,3.53,993,0,,,6.620057106018066,892,7.154975891113281,0.001
396,3208,-17.35,3.47,999,0,,,12.462011098861694,898,6.119475841522217,0.001
,,,,1000,,-5.0,1.0,7.635379791259766,899,,0.001
400,3230,-17.0,3.4,1003,0,,,15.547750473022461,902,5.8093581199646,0.001
404,3244,-16.25,3.25,1008,0,,,7.698537349700928,907,6.191232204437256,0.001
408,3255,-15.9,3.18,1013,0,,,1.7825894355773926,912,5.807189464569092,0.001
412,3266,-15.35,3.07,1018,0,,,8.33180570602417,917,6.2665696144104,0.001
416,3277,-14.85,2.97,1024,0,,,4.481461524963379,923,5.820417404174805,0.001
420,3289,-14.05,2.81,1028,0,,,7.55910587310791,927,5.901737689971924,0.001
424,3300,-13.25,2.65,1032,0,,,8.897422790527344,931,6.169911861419678,0.001
428,3314,-12.7,2.54,1037,0,,,2.6023783683776855,936,6.05496883392334,0.001
,,,,1040,,-10.0,2.0,8.748941421508789,939,5.206554412841797,0.001
432,3344,-11.95,2.39,1042,0,,,7.260886013507843,941,5.580471992492676,0.001
436,3357,-11.35,2.27,1046,0,,,3.2895383834838867,945,5.835933208465576,0.001
440,3372,-10.55,2.11,1050,0,,,5.7592620849609375,949,5.923113822937012,0.001
444,3384,-9.75,1.95,1054,0,,,7.014406204223633,953,5.557041168212891,0.001
448,3395,-8.95,1.79,1058,0,,,1.520684003829956,957,5.4774298667907715,0.001
452,3406,-8.15,1.63,1062,0,,,6.15147066116333,961,5.781127452850342,0.001
456,3420,-4.86505073,1.52,1071,0,,,2160.3086923137307,970,4.704257488250732,0.001
460,3435,-3.68895196,1.41,1076,0,,,19.11565589904785,975,3.738010883331299,0.001
,,,,1080,,-5.0,1.0,3950.96484375,979,2.840646505355835,0.001
464,3457,-2.15518255,1.3,1081,0,,,18.92960548400879,980,2.5022170543670654,0.001
468,3696,-1.75518255,1.22,1085,0,,,4617.708984375,984,1.6031748056411743,0.001
472,3704,-1.75518255,1.22,1089,0,,,57.39543914794922,988,1.018915057182312,0.001
476,3724,-1.8769512600000002,1.25,1097,0,,,72.23448944091797,992,0.6694504022598267,0.001
480,3750,-2.57695126,1.39,1117,0,,,975.531137084961,1012,-0.2901040216286977,0.001
,,,,1120,,-10.0,2.0,130.3012237548828,1019,0.3622635304927826,0.001
484,3783,-2.8769512600000002,1.45,1128,0,,,102.53267415364583,1027,1.367080569267273,0.001
488,3853,-2.9769512600000003,1.47,1135,0,,,85.0745620727539,1033,1.7467540502548218,0.001
