rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/value_loss,train/std,train/n_updates,train/explained_variance,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/approx_kl
222.33645280555558,8.5,1,1,210,320,,,,,,,,,,,
233.90495046376813,9.101449275362318,2,2,315,640,26961.99921875,0.9895908236503601,10,-0.0021774768829345703,0.2,26203.9140625,0.09718750196043402,0.0003,-4.239922213554382,-0.007139161251515702,0.0069061564
239.6168827272727,9.535353535353535,3,2,373,960,23808.342779541017,0.9936951398849487,20,-0.007812976837158203,0.2,11181.587890625,0.09312500189989806,0.0003,-4.231321069598198,-0.005384243354146179,0.007894599
276.74556593000005,10.73,4,2,451,1280,15433.37068786621,0.9930505752563477,30,-0.04335641860961914,0.2,7402.283203125,0.05250000115483999,0.0003,-4.236583799123764,-0.004092005613924243,0.0038942848
274.15617856999995,10.47,5,3,530,1600,22622.670379638672,0.9934414625167847,40,-0.09599292278289795,0.2,15722.064453125,0.14656250209081917,0.0003,-4.23211060166359,0.004294129883851383,0.009065608
275.4710213,10.26,6,3,589,1920,27750.80679321289,0.9873337745666504,50,-0.11178815364837646,0.2,18402.134765625,0.14312500229571015,0.0003,-4.226197153329849,-0.0022412344210010816,0.00560047
255.98890155,9.21,7,3,668,2240,16728.808038330077,0.9917091131210327,60,-0.04319262504577637,0.2,6837.84326171875,0.1456250025657937,0.0003,-4.226578560471535,-0.008003663938433192,0.010777639
281.44424687,9.46,8,3,753,2560,22388.570919799804,0.9868589639663696,70,-0.004898548126220703,0.2,17313.76171875,0.1846875031478703,0.0003,-4.225894787907601,-0.002080323005776563,0.0064303456
324.95709751999993,9.86,9,3,811,2880,23906.644830322264,0.9807650446891785,80,0.008619606494903564,0.2,17088.90234375,0.14625000294763596,0.0003,-4.206856435537338,-0.011860209603841553,0.008492782
349.04912594999996,10.45,10,3,916,3200,33155.61176757813,0.9800824522972107,90,0.016412675380706787,0.2,19850.228515625,0.1409375021001324,0.0003,-4.197058871388435,-0.013729989549290167,0.011307498
332.89949482000003,10.11,11,3,1021,3520,33011.95155029297,0.9774782061576843,100,-0.07117223739624023,0.2,12316.1591796875,0.16500000325031577,0.0003,-4.195786914229393,-0.003690826330381469,0.010700425
308.48137017,9.82,12,3,1111,3840,27778.114276123048,0.9711192846298218,110,-0.08318400382995605,0.2,19482.751953125,0.11343750201631338,0.0003,-4.1781479001045225,-0.010683717562278617,0.0052841445
269.27829126,8.98,13,3,1239,4160,24755.404095458984,0.9737823009490967,120,0.0008783936500549316,0.2,13777.61328125,0.14312500273808837,0.0003,-4.172369101643563,-0.010693589372908718,0.0114354715
280.79474696,9.54,14,3,1298,4480,26556.0442565918,0.9682269096374512,130,-0.04918551445007324,0.2,13572.515625,0.1418750023469329,0.0003,-4.168985944986344,-0.0040570365320633075,0.008491579
286.47754059000005,9.64,15,3,1355,4800,27751.519384765626,0.9552778601646423,140,-0.1746230125427246,0.2,14145.7197265625,0.10750000167172402,0.0003,-4.139699405431747,-0.006596930495703646,0.007107226
306.25025636999993,10.02,16,3,1464,5120,27487.53324584961,0.9471569061279297,150,-0.0020263195037841797,0.2,11929.796875,0.14156250196974723,0.0003,-4.10668878853321,-0.013694459576208828,0.005179252
303.08723563,9.89,17,3,1589,5440,23527.48271484375,0.9441231489181519,160,-0.0006194114685058594,0.2,8682.6083984375,0.045625000796280804,0.0003,-4.089572560787201,3.533301634490726e-05,0.0013858669
310.25321445,10.18,18,3,1698,5760,21873.95161743164,0.9367958903312683,170,0.004893064498901367,0.2,15990.359375,0.1225000023143366,0.0003,-4.072102478146553,-0.003768707211986566,0.0058893524
307.90461733,10.14,19,3,1884,6080,28197.552600097657,0.9367961287498474,180,-0.11379992961883545,0.2,15891.6103515625,0.1090625022770837,0.0003,-4.0598825216293335,-0.004181117788743904,0.008181486
337.57121325,11.09,20,3,1942,6400,23973.180645751952,0.9292223453521729,190,-0.031042933464050293,0.2,7458.56689453125,0.11125000237952917,0.0003,-4.048090088367462,-0.005696093283526693,0.0049766195
367.78544508000004,11.74,21,3,2036,6720,24716.119525146485,0.929801344871521,200,0.012111365795135498,0.2,14449.5078125,0.15281250250991435,0.0003,-4.0354362517595295,-0.006760589351370072,0.013183664
372.18769546,11.84,22,3,2128,7040,26702.24088745117,0.9291784167289734,210,0.09523433446884155,0.2,11891.3525390625,0.0634375014109537,0.0003,-4.037873920798302,-0.004848538251212631,0.004631661
366.08694823999997,11.49,23,3,2188,7360,28408.7203125,0.9245674014091492,220,-0.11628293991088867,0.2,12006.6796875,0.05187500084284693,0.0003,-4.0294126808643345,-0.00347075144441078,0.003636383
322.41260485,10.59,24,3,2249,7680,28698.298779296874,0.9216201305389404,230,-0.04944908618927002,0.2,15219.7705078125,0.1243750024586916,0.0003,-4.01768108010292,-0.004238015733409384,0.0081669465
270.38439821000003,9.19,25,3,2328,8000,24374.022662353516,0.9150912761688232,240,-0.062331199645996094,0.2,9950.169921875,0.1293750025331974,0.0003,-4.000278142094612,-0.0014128780418104724,0.0030793594
283.51035814999994,9.74,26,3,2385,8320,19792.61442871094,0.9191244840621948,250,-0.03730177879333496,0.2,10680.7294921875,0.15687500273343175,0.0003,-3.9957026809453966,-0.007196774948161533,0.010158371
292.56495768,9.76,27,3,2443,8640,23153.68857421875,0.918712854385376,260,0.023191332817077637,0.2,10170.830078125,0.1103125017369166,0.0003,-4.0027147233486176,-0.006399188295090852,0.0074068746
