eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/loss,train/std,train/n_updates,train/clip_range,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance
1,-5,7720,,,,,,-3.616149029,0.023584263,16648.35742,0.816781998,1920,0.2,25143.021,-0.032345862,0.0003,0.175000004,0.134792507
,,7720,3.44,6874,193,1,247.5410806,,,,,,,,,,,
5,486.4705925,7760,,,,,,-3.615675387,0.02596372,14013.61523,0.816742063,1930,0.2,39205.68981,0.003460993,0.0003,0.350000007,0.022350669
,,7760,3.48,6895,194,1,252.0544003,,,,,,,,,,,
5,569.1070938,7800,,,,,,-3.612894687,0.010660871,4445.794434,0.815963447,1940,0.2,20901.69752,-0.02364881,0.0003,0.090000001,0.063985288
,,7800,3.54,6916,195,1,259.2713284,,,,,,,,,,,
3,198.5955734,7840,,,,,,-3.610120773,0.002967017,17726.9668,0.814669311,1950,0.2,20294.81652,-0.002468427,0.0003,0.077500001,0.222120941
,,7840,3.57,6940,196,1,272.0571979,,,,,,,,,,,
5,453.8773766,7880,,,,,,-3.605199707,0.013678497,6020.450684,0.813497901,1960,0.2,24985.96243,-0.012618172,0.0003,0.087500001,0.222442806
,,7880,3.57,6960,197,1,276.6353601,,,,,,,,,,,
5,360.8813801,7920,,,,,,-3.599945217,0.01809453,17472.54688,0.812172592,1970,0.2,33436.84279,-0.00886128,0.0003,0.127500002,-0.086202383
,,7920,3.62,6981,198,1,280.9518543,,,,,,,,,,,
5,444.086319,7960,,,,,,-3.593860769,0.010249577,9890.90332,0.810252666,1980,0.2,19322.5502,-0.01183689,0.0003,0.100000002,0.200142324
,,7960,3.64,7001,199,1,279.8720319,,,,,,,,,,,
5,455.5458336,8000,,,,,,-3.590329027,0.010752124,29483.42383,0.811131835,1990,0.2,25058.06318,-0.000585995,0.0003,0.150000003,-0.06136775
,,8000,3.65,7017,200,1,287.9181756,,,,,,,,,,,
