rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,train/explained_variance,train/value_loss,train/std,train/clip_range,train/clip_fraction,train/learning_rate,train/approx_kl,eval/mean_ep_length,eval/mean_reward
4.0,0,84,40,1,33.864112399999996,,,,,,,,,,,,,
3.2,0,106,80,2,21.9143448,10,-0.048760510829451965,71.78775024414062,-4.261184358596802,0.0012301802635192871,1826.4127540111542,1.0018446445465088,0.2,0.31500000674277545,0.0003,0.032489892,,
,,,100,,,20,-0.03318173320149072,64.16416931152344,-4.259750413894653,-0.008148193359375,635.8946828842163,0.9987358450889587,0.2,0.3050000060349703,0.0003,0.03429064,5.0,234.57341957092285
3.342857142857143,0,125,120,3,31.072961571428575,,,,,,,,,,,,,
3.4782608695652173,0,224,160,4,41.778637717391305,30,-0.020481320612907437,5007.10791015625,-4.2574087381362915,-0.00949549674987793,5140.251208305359,1.0019397735595703,0.2,0.13500000294297934,0.0003,0.017724156,,
,,,200,,,40,-0.012066449886042396,780.2907104492188,-4.266434627771377,-0.0008504390716552734,3890.5066719055176,1.0036925077438354,0.2,0.08250000178813935,0.0003,0.011906832,5.0,-5.262760400772095
3.389830508474576,0,249,200,5,37.15516847457627,,,,,,,,,,,,,
3.2916666666666665,0,310,240,6,34.934358625,50,-0.03366263514712046,215.16909790039062,-4.266591960191727,-0.0650252103805542,1849.196460723877,1.0031580924987793,0.2,0.26250000633299353,0.0003,0.028439336,,
3.146067415730337,0,377,280,7,32.963607898876404,60,-0.008377547959680242,899.5984497070312,-4.272394132614136,-0.009749412536621094,1375.433578491211,1.0071966648101807,0.2,0.17750000301748514,0.0003,0.037420787,,
,,,300,,,70,-0.02417084401822649,303.4217834472656,-4.282513356208801,-0.023715734481811523,604.1686340332031,1.0100183486938477,0.2,0.3425000075250864,0.0003,0.020765573,4.0,105.41261291503906
3.19,0,456,320,8,36.613509869999994,,,,,,,,,,,,,
3.12,0,473,360,9,39.82743918,80,-0.03692900413367171,2377.978515625,-4.287469643354416,0.023525238037109375,2632.4353115081785,1.0088289976119995,0.2,0.22750000599771739,0.0003,0.039514102,,
,,,400,,,90,-0.02081563972082221,3243.673828125,-4.2846512496471405,-0.06844115257263184,3400.4510955810547,1.0102413892745972,0.2,0.17750000357627868,0.0003,0.026311414,5.0,106.45929622650146
3.2,0,495,400,10,45.906731119999996,,,,,,,,,,,,,
3.11,0,596,440,11,44.60822195,100,-0.0034336991958116457,1134.913818359375,-4.288234239816665,-0.01967442035675049,2598.9629516601562,1.0113648176193237,0.2,0.14250000212341546,0.0003,0.009433659,,
2.98,0,658,480,12,41.59576137999999,110,-0.013614898439263922,878.6240844726562,-4.288945895433426,0.0005855560302734375,2332.841839981079,1.010589361190796,0.2,0.07250000108033419,0.0003,0.012859586,,
,,,500,,,120,-0.0254014553810157,434.29742431640625,-4.286701166629792,0.02649080753326416,1190.6939044952392,1.009594202041626,0.2,0.170000003837049,0.0003,0.023397557,5.0,120.47640943527222
2.8,0,687,520,13,41.715526010000005,,,,,,,,,,,,,
2.83,0,740,560,14,43.84844206,130,-0.01805640246835537,2125.642578125,-4.2864244997501375,0.027385294437408447,2086.5231758117675,1.0109076499938965,0.2,0.1450000023469329,0.0003,0.0053155227,,
,,,600,,,140,5.5902104077176776e-05,334.9569091796875,-4.282236522436142,0.025242865085601807,1683.2451126098633,1.0048928260803223,0.2,0.14750000294297932,0.0003,0.013436705,5.0,128.37783813476562
2.68,0,766,600,15,38.89735447000001,,,,,,,,,,,,,
2.77,0,783,640,16,41.23719922,150,-0.049928372087597386,295.7689208984375,-4.270012354850769,-0.020650506019592285,2115.2792171478272,1.00482177734375,0.2,0.27500000558793547,0.0003,0.012159582,,
2.78,0,891,680,17,39.47831890999999,160,-0.03219541299768025,562.73583984375,-4.272500079870224,-0.01924288272857666,2474.956196975708,1.0055962800979614,0.2,0.19000000394880773,0.0003,0.030047636,,
,,,700,,,170,-0.005713551170192654,656.908203125,-4.269871997833252,0.04318934679031372,1506.0390926361083,1.0041570663452148,0.2,0.4050000090152025,0.0003,0.03923869,5.0,85.01985865831375
2.77,0,1006,720,18,35.84758323,,,,,,,,,,,,,
2.86,0,1120,760,19,36.55505416,180,-0.007347535008639161,428.1270751953125,-4.262530505657196,-0.080405592918396,1475.997625732422,1.0009431838989258,0.2,0.3050000062212348,0.0003,0.027467165,,
,,,800,,,190,-0.025530211556833816,480.576416015625,-4.256587523221969,-0.029428958892822266,908.1304069519043,0.9989103674888611,0.2,0.16750000324100256,0.0003,0.0100276135,5.0,116.41381359100342
3.02,0,1145,800,20,42.389042769999996,,,,,,,,,,,,,
3.14,0,1161,840,21,51.42567257,200,-0.004194193472212648,1791.8690185546875,-4.252069890499115,0.004447877407073975,4458.539390945434,0.9980287551879883,0.2,0.037500000558793545,0.0003,0.0030847564,,
3.2,0,1176,880,22,54.551947629999994,210,0.0038715788156696183,3153.71142578125,-4.249670934677124,-0.014436960220336914,9750.797462463379,0.9975107908248901,0.2,0.007500000111758709,0.0003,0.006034448,,
,,,900,,,220,-0.0069339593429686985,894.7968139648438,-4.247682124376297,-0.04113447666168213,2523.592992401123,0.9962877035140991,0.2,0.037500000558793545,0.0003,0.0071254214,5.0,40.64155888557434
3.2,0,1246,920,23,52.74570758000001,,,,,,,,,,,,,
3.13,0,1262,960,24,52.45730900999999,230,-0.0060233360973143135,689.049560546875,-4.248374754190445,-0.026871800422668457,2098.206381988525,0.9980653524398804,0.2,0.170000003837049,0.0003,0.00674395,,
,,,1000,,,240,-0.01690490931741806,977.611083984375,-4.250215256214142,-0.038588523864746094,5575.800314331054,0.9984402656555176,0.2,0.12750000189989805,0.0003,0.014019586,5.0,257.24116706848145
3.11,0,1287,1000,25,56.095678959999994,,,,,,,,,,,,,
