eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/explained_variance,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl
5.0,40,-25.0,,,,,,,,,,,,,,,,
,40,,65,7.7807445,3.6,1,0,,,,,,,,,,,
3.0,80,15.737947940826416,,,,,,0.0009565949440002441,-0.022097193677313953,130.39349365234375,0.0003,10,0.9942597150802612,0.2,-4.24706169962883,0.19250000398606062,388.5618072271347,0.01774012
,80,,85,5.82852176,3.12,2,0,,,,,,,,,,,
5.0,120,-25.0,,,,,,0.012537598609924316,-0.028862172418575936,64.44441223144531,0.0003,20,0.9865865707397461,0.2,-4.2276613175868984,0.1775000037625432,1006.7765227794647,0.031512506
,120,,109,4.381977829268292,2.926829268292683,3,1,,,,,,,,,,,
5.0,160,93.84424141049385,,,,,,0.0178983211517334,-0.026556429482288913,230.27288818359375,0.0003,30,0.9844098091125488,0.2,-4.211314803361892,0.22750000488013028,256.72785185575486,0.008120613
,160,,127,10.952104092592593,2.9444444444444446,4,1,,,,,,,,,,,
2.0,200,17.780357360839844,,,,,,0.0024396181106567383,-0.012640550061259992,544.250244140625,0.0003,40,0.9842202067375183,0.2,-4.209568291902542,0.10250000208616257,2604.0415984153747,0.012282167
,200,,189,12.253014289855072,2.898550724637681,5,1,,,,,,,,,,,
5.0,240,13.36280870437622,,,,,,-0.0025701522827148438,-0.009656839437266173,596.4639892578125,0.0003,50,0.9856512546539307,0.2,-4.211797076463699,0.10250000171363353,1121.9600095748901,0.018158756
,240,,255,10.96037143678161,2.7586206896551726,6,0,,,,,,,,,,,
3.0,280,25.885723114013672,,,,,,-0.006346702575683594,-0.01750675485658575,45.88978958129883,0.0003,60,0.9825912714004517,0.2,-4.209313952922821,0.20500000417232514,449.4236433982849,0.015621264
,280,,276,11.054264220000002,2.66,7,1,,,,,,,,,,,
5.0,320,133.36349296569824,,,,,,-0.045654892921447754,-0.0306179404204886,446.0460510253906,0.0003,70,0.9801324605941772,0.2,-4.200841534137726,0.24000000450760126,490.32004804611205,0.016131347
,320,,474,11.65645341,2.42,8,0,,,,,,,,,,,
2.0,360,7.908924102783203,,,,,,0.000913083553314209,-0.01412049360050105,529.19775390625,0.0003,80,0.9780117869377136,0.2,-4.19518358707428,0.3100000059232116,1131.6885001182557,0.032605045
,360,,492,17.60816429,2.44,9,0,,,,,,,,,,,
2.0,400,32.18204879760742,,,,,,0.015483558177947998,-0.009511322004345856,843.8378295898438,0.0003,90,0.9769266843795776,0.2,-4.1883919656276705,0.052500000782310964,2015.9891107559204,0.00742036
,400,,555,18.3063084,2.35,10,0,,,,,,,,,,,
3.0,440,16.45803451538086,,,,,,0.017377793788909912,-0.004915870074396489,225.00306701660156,0.0003,100,0.977254331111908,0.2,-4.186840265989304,0.007500000111758709,5309.086226272583,0.0031940565
,440,,591,21.39395766,2.35,11,0,,,,,,,,,,,
5.0,480,92.01824569702148,,,,,,0.01839601993560791,-0.016727300520051357,215.45628356933594,0.0003,110,0.9744706153869629,0.2,-4.184033519029617,0.16000000424683095,2174.0096727371215,0.013033972
,480,,609,26.869333839999996,2.47,12,0,,,,,,,,,,,
5.0,520,-25.0,,,,,,0.006197512149810791,-0.014362804018801389,454.4591369628906,0.0003,120,0.9742664098739624,0.2,-4.178826177120209,0.030000000447034835,3264.8634506225585,0.010090006
