time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction
960,45.001564025878906,2.0,,,,,,429.7156631946564,20.04094886779785,0.0015873312950134277,230,0.9392075538635254,0.2,0.02661058,-0.0196049473338644,-4.071623760461807,0.0003,0.33750000707805156
960,,,1.53,24,1255,4.31763114,0,,,,,,,,,,,
1000,-5.0,1.0,,,,,,323.28000340461733,103.4630355834961,-0.002018451690673828,240,0.9326691627502441,0.2,0.02587461,-0.03732485237298533,-4.057451844215393,0.0003,0.3550000097602606
1000,,,1.53,25,1291,7.702529569999999,0,,,,,,,,,,,
1040,51.76568377017975,5.0,,,,,,3756.5098383426666,158.04164123535156,-0.004425048828125,250,0.9334561824798584,0.2,0.031143755,-0.02040733274019657,-4.045874905586243,0.0003,0.1675000037997961
1040,,,1.71,26,1324,12.197297840000001,0,,,,,,,,,,,
1080,-5.0,1.0,,,,,,11224.948762750626,138.58395385742188,-0.003916263580322266,260,0.9328367710113525,0.2,0.002695653,-0.007025409069610755,-4.048115074634552,0.0003,0.027500000409781934
1080,,,1.69,27,1410,14.703774489999999,0,,,,,,,,,,,
1120,14.430133819580078,5.0,,,,,,5474.188903713226,51.44636535644531,-0.0015149116516113281,270,0.9368314743041992,0.2,0.013012176,-0.010664895735390017,-4.0522415935993195,0.0003,0.12750000283122062
1120,,,1.8,28,1496,16.35958439,0,,,,,,,,,,,
1160,-5.0,1.0,,,,,,1004.975212097168,172.017578125,0.003276348114013672,280,0.9371337890625,0.2,0.010777863,-0.016341931416827715,-4.06207726597786,0.0003,0.2925000064074993
1160,,,1.83,29,1548,16.35016197,0,,,,,,,,,,,
1200,-5.0,1.0,,,,,,280.04789171218874,44.050350189208984,-0.008937716484069824,290,0.9378763437271118,0.2,0.029838733,-0.018749862879849387,-4.061494100093841,0.0003,0.24750000536441802
1200,,,1.82,30,1620,21.385067440000004,0,,,,,,,,,,,
1240,33.53543472290039,2.0,,,,,,37586.42698707581,722.0382690429688,-0.003700733184814453,300,0.9371940493583679,0.2,0.032117046,-0.018038458637620346,-4.062137800455093,0.0003,0.2100000038743019
1240,,,1.84,31,1662,26.39679251,0,,,,,,,,,,,
1280,-11.888757467269897,4.0,,,,,,11830.212436866761,1600.692626953125,-0.005873203277587891,310,0.9380067586898804,0.2,0.01768503,-0.006690507367329701,-4.062525308132171,0.0003,0.1750000037252903
1280,,,1.82,32,1713,23.482741540000003,0,,,,,,,,,,,
1320,26.122339248657227,2.0,,,,,,1206.4374609947204,936.080322265625,-0.010706424713134766,320,0.9371083974838257,0.2,0.007728106,-0.010655779507942498,-4.062578797340393,0.0003,0.16250000335276127
1320,,,1.84,33,2080,31.41420854,0,,,,,,,,,,,
1360,-5.0,1.0,,,,,,15459.717721748351,771.9605102539062,-0.005779266357421875,330,0.9355517625808716,0.2,0.03177146,-0.010069289867206167,-4.05788117647171,0.0003,0.15000000428408383
1360,,,1.83,34,2113,27.868255039999998,0,,,,,,,,,,,
1400,-5.0,1.0,,,,,,410.1162284851074,110.23477172851562,-0.006874203681945801,340,0.9348028898239136,0.2,0.015941503,0.001486360016569943,-4.053981584310532,0.0003,0.24500000476837158
