time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/std,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,train/loss
2,346.51695254,9.68,33,3833,10560,0.9106700420379639,320,0.0003,0.0893750019138679,0.004035295,0.0013578004568671532,0.2,-0.000789642333984375,-3.9745308071374894,35991.073486328125,16975.8359375
2,388.51099584,10.7,34,3894,10880,0.9084545969963074,330,0.0003,0.08031250180210918,0.0049787145,-0.002160148753409885,0.2,-0.051734089851379395,-3.967139145731926,44544.67924804687,20753.640625
2,408.93164014,11.03,35,3984,11200,0.9077452421188354,340,0.0003,0.11187500222586096,0.009182552,-0.00994830441219392,0.2,0.02871304750442505,-3.9625116661190987,39492.04341430664,22266.400390625
2,416.29962393999995,11.13,36,4089,11520,0.9045525789260864,350,0.0003,0.1146875019883737,0.011145016,-0.007180337861205999,0.2,-0.010241508483886719,-3.955051973462105,40588.07367553711,29960.80078125
2,402.34947571,10.77,37,4177,11840,0.9046961665153503,360,0.0003,0.13406250283587723,0.009420901,-0.00962706058137428,0.2,0.054536521434783936,-3.9496837303042414,38053.36392822266,18672.623046875
2,377.37848474000003,10.14,38,4267,12160,0.9041630625724792,370,0.0003,0.1321875020628795,0.01105047,-0.011560687144162784,0.2,-0.017507553100585938,-3.950039041042328,44571.11437988281,18187.443359375
2,348.49932851,9.27,39,4332,12480,0.900683581829071,380,0.0003,0.06437500109896063,0.0039986945,-0.0037523876315276538,0.2,-0.03293108940124512,-3.944412387907505,44926.41143798828,23902.89453125
2,372.42030037999996,9.75,40,4420,12800,0.901427149772644,390,0.0003,0.12875000226777047,0.0048145195,0.0019195368280804815,0.2,-0.0069730281829833984,-3.938207320868969,36023.73955078125,18391.91015625
2,368.82635732,9.64,41,4495,13120,0.9063816070556641,400,0.0003,0.06500000103842467,0.005630231,-0.005272920247290358,0.2,-0.04673910140991211,-3.9497274339199064,42102.73618774414,18223.63671875
2,374.37570629000004,9.95,42,4593,13440,0.9077569842338562,410,0.0003,0.08968750212807208,0.0080357175,-0.004007172618003096,0.2,-0.02327096462249756,-3.9587609976530076,38715.66613769531,15361.1630859375
2,335.96094016,9.36,43,4658,13760,0.9101299047470093,420,0.0003,0.1140625020256266,0.005883269,-0.00843680501210713,0.2,-0.03174126148223877,-3.963036060333252,41876.1487915039,15731.1064453125
2,307.59144282,8.64,44,4799,14080,0.9097084999084473,430,0.0003,0.15062500201165677,0.010584434,-0.00992298602707251,0.2,0.04629713296890259,-3.9675411745905875,30528.441400146483,16522.466796875
2,303.47644221999997,8.41,45,4941,14400,0.9126710891723633,440,0.0003,0.10843750175554305,0.005644667,-0.0074732210344848225,0.2,-0.010944962501525879,-3.9703414380550384,45578.11016845703,12261.3798828125
2,337.37285831,8.76,46,5005,14720,0.9138914346694946,450,0.0003,0.13437500223517418,0.0071941465,-0.005593536777496411,0.2,-0.003537416458129883,-3.9802472680807113,37710.95875244141,16183.4404296875
2,347.1697984499999,8.84,47,5072,15040,0.9121167063713074,460,0.0003,0.08218750171363354,0.007169341,-0.004364009717778572,0.2,0.10669958591461182,-3.9779459938406942,42273.556628417966,25606.99609375
2,344.01558528000004,8.69,48,5181,15360,0.9090622663497925,470,0.0003,0.06843750167172402,0.005890226,-0.0030598862748320243,0.2,-0.006450295448303223,-3.9692259073257445,44648.34700927734,21365.248046875
2,309.8801439,8.06,49,5308,15680,0.901537299156189,480,0.0003,0.10031250212341547,0.005800901,-0.0029237137868033613,0.2,-0.029188156127929688,-3.950391064584255,46270.215344238284,23470.369140625
2,355.42085918,8.85,50,5542,16000,0.8954099416732788,490,0.0003,0.20625000353902578,0.009925659,-0.0045914431516649755,0.2,0.10768675804138184,-3.9272006422281267,29255.43507080078,8297.4091796875
