time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/loss
360,5.0,26.705689787864685,,,,,,50.326233863830566,80,0.2,-4.188166207075119,-0.015446782112121582,0.0003,-0.034468934308097235,0.3775000095367432,0.057998277,0.9768378138542175,24.304340362548828
360,,,2.87,0.22824043999999946,343,1,9,,,,,,,,,,,
400,2.0,-1.208599328994751,,,,,,414.05444355010985,90,0.2,-4.185236573219299,-0.01152336597442627,0.0003,-0.008294723924482206,0.08250000141561031,0.008350032,0.9765143394470215,115.35623168945312
400,,,2.88,2.036417,363,1,10,,,,,,,,,,,
440,2.0,-10.0,,,,,,643.9265532970428,100,0.2,-4.1807532668113705,-0.003984689712524414,0.0003,-0.040376999961299585,0.1875000037252903,0.014879576,0.9736015200614929,414.1698303222656
440,,,2.77,3.3990549599999995,381,1,11,,,,,,,,,,,
480,3.0,-4.77364444732666,,,,,,321.24523091316223,110,0.2,-4.166623669862747,-0.002509593963623047,0.0003,-0.023628550646462833,0.2100000036880374,0.018389067,0.9685177803039551,77.05642700195312
480,,,2.85,5.36723387,398,1,12,,,,,,,,,,,
520,2.0,3.1062440872192383,,,,,,229.68109622001649,120,0.2,-4.157207357883453,0.0018233060836791992,0.0003,-0.015838584633829665,0.23250000588595868,0.016094103,0.9679461717605591,81.48460388183594
520,,,2.91,6.68592403,517,1,13,,,,,,,,,,,
560,3.0,-14.03167724609375,,,,,,193.48464522361755,130,0.2,-4.152367949485779,-0.021892905235290527,0.0003,-0.029287367474244097,0.22000000458210706,0.024197677,0.9637535810470581,118.0672607421875
560,,,2.9,5.693559170000001,538,1,14,,,,,,,,,,,
600,5.0,53.51782417297363,,,,,,221.39806962013245,140,0.2,-4.137256079912186,-0.0023415088653564453,0.0003,-0.018541099819813132,0.1400000024586916,0.014342293,0.958915114402771,132.84901428222656
600,,,2.85,7.1029922,606,0,15,,,,,,,,,,,
640,5.0,62.40843057632446,,,,,,570.4593991279602,150,0.2,-4.123710370063781,0.00826263427734375,0.0003,-0.02765024649626866,0.25750000588595867,0.026580188,0.9557580947875977,343.1017761230469
640,,,2.73,7.83207185,625,1,16,,,,,,,,,,,
680,5.0,55.71927309036255,,,,,,1036.4030128479003,160,0.2,-4.1158121705055235,-0.006540060043334961,0.0003,-0.01796614116156888,0.04000000059604645,0.010964673,0.9541460275650024,1183.65625
680,,,2.77,8.78019857,655,1,17,,,,,,,,,,,
720,5.0,76.86699676513672,,,,,,753.28239402771,170,0.2,-4.112990069389343,-0.021430373191833496,0.0003,-0.015355494233081112,0.07500000130385161,0.015471813,0.9551522135734558,840.0661010742188
720,,,2.89,11.69601057,673,1,18,,,,,,,,,,,
760,5.0,35.73782539367676,,,,,,1058.3669292449952,180,0.2,-4.116027945280075,-0.03566086292266846,0.0003,-0.049627479857190335,0.2525000059977174,0.031993642,0.9551107287406921,218.79373168945312
760,,,2.99,15.441764050000002,689,1,19,,,,,,,,,,,
