time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/std,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss
520,-17.75658029317856,5.0,,,,,,0.9581272006034851,-4.1271159768104555,120,0.2,0.0003,1789.7935823440553,0.14250000286847353,608.990966796875,0.017203424,0.0028120875358581543,-0.020565615492905632
520,,,13,1,2.91,5.756172289999999,392,,,,,,,,,,,
560,-4.3744823932647705,5.0,,,,,,0.9569229483604431,-4.125211477279663,130,0.2,0.0003,173.2402934551239,0.35750000812113286,50.15291213989258,0.042304993,-0.03511404991149902,-0.034004862594665605
560,,,14,1,2.95,5.95270802,466,,,,,,,,,,,
600,53.9269905090332,5.0,,,,,,0.9557239413261414,-4.120905864238739,140,0.2,0.0003,160.075400185585,0.2525000054389238,60.65290451049805,0.041826412,-0.0302126407623291,-0.01829144179981086
600,,,15,1,2.88,7.7115819399999985,499,,,,,,,,,,,
640,18.412858247756958,5.0,,,,,,0.9522460699081421,-4.111855697631836,150,0.2,0.0003,677.0097900867462,0.1375000024214387,504.15203857421875,0.015255977,-0.008728981018066406,-0.026099830768580433
640,,,16,1,2.84,6.82800205,556,,,,,,,,,,,
680,27.410419940948486,5.0,,,,,,0.9489641189575195,-4.101700067520142,160,0.2,0.0003,194.68962531089784,0.057500001043081284,44.07987976074219,0.0033055888,0.018003404140472412,0.0011577363467949909
680,,,17,1,2.91,7.02975388,578,,,,,,,,,,,
720,-3.708658456802368,3.0,,,,,,0.9474376440048218,-4.093494439125061,170,0.2,0.0003,724.2652824878693,0.3000000074505806,247.096923828125,0.023213528,-0.012850522994995117,-0.02617858436031384
720,,,18,1,2.87,8.903688229999998,598,,,,,,,,,,,
760,-15.0,3.0,,,,,,0.9442358016967773,-4.087732636928559,180,0.2,0.0003,348.54702706336974,0.3250000074505806,140.52796936035156,0.024673082,0.021853864192962646,-0.047282324586267355
760,,,19,1,2.84,6.72193488,654,,,,,,,,,,,
800,0.8211755752563477,5.0,,,,,,0.9445843696594238,-4.081811320781708,190,0.2,0.0003,142.19495272636414,0.08500000126659871,96.5186767578125,0.011800149,-0.03104841709136963,-0.007380201437918022
800,,,20,1,2.68,8.222582599999999,700,,,,,,,,,,,
840,92.28478336334229,5.0,,,,,,0.9405845403671265,-4.076645869016647,200,0.2,0.0003,516.3258600950242,0.2150000048801303,281.86614990234375,0.014563695,0.01068204641342163,-0.024621758327994025
840,,,21,0,2.68,9.702225389999997,882,,,,,,,,,,,
880,64.65796041488647,5.0,,,,,,0.9358639717102051,-4.0621184527873995,210,0.2,0.0003,1087.8494460105896,0.2900000074878335,314.0731201171875,0.039539453,0.0058196187019348145,-0.021815717268236768
880,,,22,0,2.76,11.622331500000003,905,,,,,,,,,,,
920,42.18025088310242,5.0,,,,,,0.9363135099411011,-4.0550299942493435,220,0.2,0.0003,1525.6172633171082,0.17250000312924385,1020.2362670898438,0.01505565,0.0032858848571777344,-0.016433174175654132
920,,,23,0,2.74,13.18285807,930,,,,,,,,,,,
960,-13.443446159362793,4.0,,,,,,0.9366165399551392,-4.056549602746964,230,0.2,0.0003,686.6056070327759,0.43500001039355995,183.39059448242188,0.059955597,-0.014519214630126953,-0.040665117646772164
960,,,24,1,2.59,11.12186196,954,,,,,,,,,,,
1000,-10.0,2.0,,,,,,0.9361029863357544,-4.056834584474563,240,0.2,0.0003,835.0426341056824,0.25000000558793545,162.7943572998047,0.0139735555,-0.013091802597045898,-0.010564011794340323
1000,,,25,0,2.66,12.26848822,1070,,,,,,,,,,,
1040,18.120627403259277,5.0,,,,,,0.9359211325645447,-4.053699237108231,250,0.2,0.0003,750.3196044921875,0.24250000547617673,218.03660583496094,0.03159276,-0.06675434112548828,-0.03506585868126422
1040,,,26,0,2.73,13.966237769999998,1144,,,,,,,,,,,
1080,7.405029296875,2.0,,,,,,0.9403087496757507,-4.06177796125412,260,0.2,0.0003,463.06279010772704,0.13250000216066837,471.10906982421875,0.006613803,0.04418444633483887,-0.006773978561977856
1080,,,27,0,2.9,15.608490699999999,1163,,,,,,,,,,,
1120,-1.2821409702301025,2.0,,,,,,0.9399679899215698,-4.068131822347641,270,0.2,0.0003,1985.4013973236083,0.022500000335276125,213.80508422851562,0.0043284507,0.009391725063323975,-0.012423002500509029
1120,,,28,0,3.0,16.83336634,1185,,,,,,,,,,,
1160,97.11646903306246,5.0,,,,,,0.9398837089538574,-4.0661541223526,280,0.2,0.0003,1364.8336498260499,0.15000000298023225,281.71417236328125,0.01962053,-0.023061513900756836,-0.018164473997294407
1160,,,29,0,2.95,17.96858875,1206,,,,,,,,,,,
1200,20.678112030029297,2.0,,,,,,0.9403082728385925,-4.066248196363449,290,0.2,0.0003,1567.787452697754,0.047500000707805155,320.1333923339844,0.011026371,-0.007720947265625,-0.01274012336169108
1200,,,30,0,2.97,18.443149140000003,1226,,,,,,,,,,,
1240,68.4343044757843,5.0,,,,,,0.9401745796203613,-4.066322046518326,300,0.2,0.0003,667.4203095436096,0.09500000197440386,210.19349670410156,0.0042034034,-0.02287423610687256,-0.005600781595021554
1240,,,31,0,3.03,22.971121980000003,1291,,,,,,,,,,,
1280,28.458721160888672,3.0,,,,,,0.9401766061782837,-4.06556007862091,310,0.2,0.0003,1580.686264038086,0.2525000061839819,1501.6278076171875,0.020041097,-0.010766863822937012,-0.012654686802580107
1280,,,32,0,3.11,26.05549576,1356,,,,,,,,,,,
1320,90.27335548400879,4.0,,,,,,0.9372557401657104,-4.06170671582222,320,0.2,0.0003,1048.8479125976562,0.0775000013411045,278.92828369140625,0.0040630745,0.024326205253601074,-0.004588060824480633
1320,,,33,0,3.18,28.558023470000002,1448,,,,,,,,,,,
1360,57.018832206726074,5.0,,,,,,0.9354755878448486,-4.051777666807174,330,0.2,0.0003,1881.059552001953,0.2650000058114529,1578.7645263671875,0.029125398,0.06739693880081177,-0.05551445830991725
1360,,,34,0,3.21,32.018969330000004,1472,,,,,,,,,,,
1400,-5.0,1.0,,,,,,0.9362517595291138,-4.050758403539658,340,0.2,0.0003,1016.1482620239258,0.28500000704079864,823.0451049804688,0.017986657,-0.08869445323944092,-0.02032324696709111
1400,,,35,0,3.2,33.89258268,1491,,,,,,,,,,,
1440,100.83617401123047,5.0,,,,,,0.9358874559402466,-4.05034464597702,350,0.2,0.0003,1812.0573818206788,0.25000000577419995,1287.4632568359375,0.025373317,0.004529297351837158,-0.029654345560811635
1440,,,36,0,3.17,35.98982501,1559,,,,,,,,,,,
1480,-8.870148181915283,2.0,,,,,,0.9346070289611816,-4.048092722892761,360,0.2,0.0003,2064.662811279297,0.10000000149011612,657.7596435546875,0.0138901025,-0.023458242416381836,-0.017831326506493494
1480,,,37,0,3.25,39.19729627,1577,,,,,,,,,,,
1520,13.064668655395508,3.0,,,,,,0.9329384565353394,-4.042845606803894,370,0.2,0.0003,1644.8238584518433,0.28750000707805157,743.2141723632812,0.0077871066,0.01817244291305542,-0.01446986907394603
1520,,,38,0,3.19,38.6605486,1598,,,,,,,,,,,
1560,49.63282775878906,3.0,,,,,,0.9327268600463867,-4.038731372356414,380,0.2,0.0003,942.0699867248535,0.16000000294297934,487.957763671875,0.01050698,-0.0067865848541259766,-0.023236797716963336
1560,,,39,0,3.3,40.418358430000005,1614,,,,,,,,,,,
1600,52.761844635009766,5.0,,,,,,0.9336768984794617,-4.039710301160812,390,0.2,0.0003,2091.700015258789,0.20750000439584254,1257.6383056640625,0.017305389,0.030006110668182373,-0.023778714835643755
1600,,,40,0,3.24,38.548735869999994,1633,,,,,,,,,,,
1640,92.98103785514832,5.0,,,,,,0.9324712753295898,-4.039384561777115,400,0.2,0.0003,1301.8229522705078,0.16000000294297934,1037.332275390625,0.010855978,0.06985759735107422,-0.01445245484435873
1640,,,41,0,3.07,37.15041068,1682,,,,,,,,,,,
1680,60.36666488647461,5.0,,,,,,0.9336060881614685,-4.038077992200852,410,0.2,0.0003,1880.3308708190918,0.1375000024214387,2049.228759765625,0.025322516,0.02052861452102661,-0.023295214413301436
1680,,,42,0,3.02,35.226693329999996,1712,,,,,,,,,,,
1720,53.772499084472656,3.0,,,,,,0.9348692297935486,-4.041994053125381,420,0.2,0.0003,1053.6953930854797,0.17750000320374965,165.13815307617188,0.03256607,0.07047808170318604,-0.018806968775752463
1720,,,43,0,3.11,37.8751252,1737,,,,,,,,,,,
1760,133.7222385406494,5.0,,,,,,0.9329063892364502,-4.041712486743927,430,0.2,0.0003,1234.3928174972534,0.07500000111758709,802.6126708984375,0.0052465294,0.07068806886672974,-0.01610443814730389
1760,,,44,0,3.17,37.462895409999994,1799,,,,,,,,,,,
1800,82.56194019317627,5.0,,,,,,0.9340969920158386,-4.037122452259064,440,0.2,0.0003,1741.9651744842529,0.33500000890344384,1039.4307861328125,0.023511544,-0.016892194747924805,-0.022973683298368998
1800,,,45,0,3.15,34.764408509999996,1824,,,,,,,,,,,
1840,11.090914607048035,3.0,,,,,,0.9345666766166687,-4.0410554826259615,450,0.2,0.0003,972.0400051116943,0.23250000439584256,309.0970458984375,0.018370312,0.02477961778640747,-0.019381285232702793
1840,,,46,0,3.2,36.18439026,1847,,,,,,,,,,,
1880,90.12839698791504,5.0,,,,,,0.9342978000640869,-4.041976535320282,460,0.2,0.0003,1243.4669673919677,0.08500000182539225,538.767578125,0.0152400285,-0.037770748138427734,-0.010815539256909678
1880,,,47,1,3.18,34.71298349999999,1872,,,,,,,,,,,
1920,156.2117805480957,5.0,,,,,,0.9323110580444336,-4.036351037025452,470,0.2,0.0003,2576.258920288086,0.17250000350177289,2443.10888671875,0.009312782,-0.012624502182006836,-0.019448470202496536
1920,,,48,1,3.27,38.33444587,1895,,,,,,,,,,,
1960,98.06997108459473,5.0,,,,,,0.9308270215988159,-4.03170223236084,480,0.2,0.0003,2702.9376907348633,0.08750000149011612,324.5157470703125,0.008613402,0.04109376668930054,-0.014191775329236411
1960,,,49,1,3.31,38.32270091,1919,,,,,,,,,,,
2000,48.13456916809082,3.0,,,,,,0.931865394115448,-4.028595674037933,490,0.2,0.0003,1677.4982950210572,0.06500000115483999,483.39642333984375,0.009642202,0.0361594557762146,-0.002960943952202799
2000,,,50,1,3.35,37.77104931,1946,,,,,,,,,,,
2040,1.1083984375,3.0,,,,,,0.9330326914787292,-4.031931686401367,500,0.2,0.0003,1764.8639526367188,0.03500000052154064,589.5936279296875,0.0061711026,-0.037552833557128906,-0.002618901153764419
2040,,,51,1,3.31,37.03125896000001,1970,,,,,,,,,,,
2080,1.7341041564941406,3.0,,,,,,0.9325904846191406,-4.032828450202942,510,0.2,0.0003,1396.0318182945252,0.23500000443309546,1081.7095947265625,0.031437322,0.044524550437927246,-0.02603357829160814
2080,,,52,1,3.3,37.16614615,1993,,,,,,,,,,,
2120,60.72403049468994,5.0,,,,,,0.9321365356445312,-4.03066126704216,520,0.2,0.0003,1747.4840105056762,0.11500000189989805,1627.519287109375,0.008929662,0.03403127193450928,-0.01455110666919609
2120,,,53,1,3.29,35.8818915,2022,,,,,,,,,,,
2160,157.0723695755005,5.0,,,,,,0.9282535910606384,-4.024172776937485,530,0.2,0.0003,1421.9240909576415,0.36250000838190316,279.0968933105469,0.045612603,-0.04391968250274658,-0.044311800298746463
2160,,,54,1,3.36,37.87928896,2046,,,,,,,,,,,
2200,118.73104476928711,5.0,,,,,,0.9273713827133179,-4.013987064361572,540,0.2,0.0003,2068.0124683380127,0.25750000588595867,1453.8529052734375,0.022107469,0.0469815731048584,-0.03276501911663217
2200,,,55,1,3.27,36.3313918,2070,,,,,,,,,,,
2240,-0.04033803939819336,2.0,,,,,,0.9253257513046265,-4.009080314636231,550,0.2,0.0003,1428.0402194976807,0.43000000827014445,322.8343200683594,0.03659682,0.06306606531143188,-0.05178822136367671
2240,,,56,1,3.34,38.91290704,2093,,,,,,,,,,,
2280,44.9135422706604,5.0,,,,,,0.9236868619918823,-4.002138489484787,560,0.2,0.0003,1458.3088001251222,0.21750000454485416,574.3802490234375,0.016661428,-0.017636775970458984,-0.024128057955094828
2280,,,57,1,3.43,39.259959450000004,2115,,,,,,,,,,,
2320,96.3294906616211,5.0,,,,,,0.9233414530754089,-3.9988986402750015,570,0.2,0.0003,2243.291738510132,0.04000000059604645,357.2809143066406,0.008764848,0.043966054916381836,-0.008653615411021765
2320,,,58,1,3.33,37.96682986999999,2137,,,,,,,,,,,
2360,105.96811771392822,5.0,,,,,,0.9219404458999634,-3.995547875761986,580,0.2,0.0003,1402.750059890747,0.14750000238418579,1461.1591796875,0.011526872,-0.03544139862060547,-0.011642698166324409
2360,,,59,1,3.52,43.96967318,2160,,,,,,,,,,,
2400,72.60648250579834,5.0,,,,,,0.9207155108451843,-3.9887705296278,590,0.2,0.0003,1937.6287090301514,0.3475000075995922,529.5565185546875,0.036105074,0.03790700435638428,-0.028934190528816562
2400,,,60,1,3.53,41.282590969999994,2220,,,,,,,,,,,
2440,19.925731658935547,2.0,,,,,,0.9199885725975037,-3.9858463048934936,600,0.2,0.0003,1362.148469543457,0.26750000547617675,734.1854858398438,0.027508862,0.05804497003555298,-0.030357920594224198
2440,,,61,1,3.56,41.532074619999996,2243,,,,,,,,,,,
