time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
29,290,46.86551813999999,1,2.6,245,0.0003,0.003403902053833008,0.0008022844791413242,0.9783605337142944,0.2,915.6560668945312,-4.190841436386108,9.065867e-06,0.0,28,1482.6050415039062,,
30,300,50.13477178,1,2.63,249,0.0003,-0.0036393404006958008,0.001989817712455988,0.9783381819725037,0.2,1006.682861328125,-4.19077730178833,1.6272068e-05,0.0,29,4033.7301635742188,,
31,310,51.15083943,1,2.67,252,0.0003,-0.0018715858459472656,-0.003550160070881603,0.9783142805099487,0.2,5422.96044921875,-4.190706491470337,4.526377e-05,0.0,30,13214.24365234375,,
,320,,,,,0.0003,-0.00986337661743164,0.0007155895233168508,0.9782935976982117,0.2,730.9844970703125,-4.190632104873657,8.070469e-06,0.0,31,2092.4116821289062,53.223947525024414,3.0
32,320,50.42445251,1,2.64,263,,,,,,,,,,,,,
33,330,53.41409368999999,1,2.7,268,0.0003,-0.018935441970825195,0.0004285246250219643,0.9782789945602417,0.2,373.7734680175781,-4.1905622482299805,1.1628867e-05,0.0,32,689.6597900390625,,
34,340,49.990218049999996,1,2.61,316,0.0003,0.0024768710136413574,-0.00019625724235083908,0.978275716304779,0.2,1459.3333740234375,-4.1905364990234375,6.2584877e-06,0.0,33,9369.181396484375,,
35,350,54.456244129999995,1,2.67,342,0.0003,-0.001195669174194336,-4.557222055012744e-05,0.9782478213310242,0.2,476.99053955078125,-4.190521001815796,7.492304e-06,0.0,34,2435.7191467285156,,
,360,,,,,0.0003,0.00010579824447631836,0.0014329493511482383,0.9782080054283142,0.2,4402.22119140625,-4.19040846824646,8.2015995e-06,0.0,35,12038.65283203125,124.9586889743805,5.0
36,360,55.38953316999999,1,2.67,352,,,,,,,,,,,,,
37,370,55.94315156,0,2.68,405,0.0003,0.026037096977233887,0.0009418845525956954,0.9781497716903687,0.2,1421.646240234375,-4.19027304649353,6.3240527e-06,0.0,36,1693.9813232421875,,
38,380,55.03991211,0,2.66,409,0.0003,0.0051538944244384766,-0.00021913647651672363,0.9780912399291992,0.2,10453.0302734375,-4.190089225769043,7.927418e-07,0.0,37,11916.973876953125,,
39,390,53.66115064,0,2.66,413,0.0003,-0.008076906204223633,-0.0010950268013409925,0.9780394434928894,0.2,1275.521484375,-4.1899168491363525,9.614229e-06,0.0,38,1404.2244873046875,,
,400,,,,,0.0003,0.010604560375213623,0.0014962733257561922,0.9779881238937378,0.2,293.5875244140625,-4.189751863479614,7.730722e-06,0.0,39,365.0357971191406,126.13278579711914,4.0
40,400,51.686199099999996,0,2.67,422,,,,,,,,,,,,,
41,410,49.19518731,0,2.66,426,0.0003,-0.007692933082580566,-0.00090326665667817,0.9779440760612488,0.2,1276.96630859375,-4.189601421356201,5.7280063e-06,0.0,40,3415.4298095703125,,
42,420,49.16582806,0,2.68,430,0.0003,8.046627044677734e-06,-0.0004037022765261966,0.9778498411178589,0.2,137.70455932617188,-4.189433813095093,2.4360419e-05,0.0,41,309.4472198486328,,
43,430,52.767306080000004,0,2.7,434,0.0003,0.03024524450302124,-0.0013718963367868042,0.9777557849884033,0.2,117.06949615478516,-4.189149379730225,1.4173985e-05,0.0,42,142.03113746643066,,
,440,,,,,0.0003,0.0027149319648742676,-0.0017998099559903835,0.9776548743247986,0.2,10068.00390625,-4.188841342926025,1.3476611e-05,0.0,43,21936.2626953125,165.18475341796875,5.0
44,440,51.72860583000001,0,2.69,487,,,,,,,,,,,,,
45,450,49.47916490000001,0,2.65,491,0.0003,-0.0026148557662963867,-0.0006930410745553672,0.9774684309959412,0.2,69.98072814941406,-4.18850302696228,1.6057491e-05,0.0,44,434.69158935546875,,
46,460,50.59402808,0,2.65,496,0.0003,0.019259214401245117,-0.0003803730069193989,0.9772183895111084,0.2,144.15280151367188,-4.187870264053345,3.1208994e-05,0.0,45,555.7969360351562,,
47,470,45.18262423,0,2.54,501,0.0003,0.008740782737731934,-0.001168400072492748,0.9769901037216187,0.2,121.4687271118164,-4.187075138092041,9.441376e-06,0.0,46,890.5162887573242,,
,480,,,,,0.0003,-0.004859447479248047,0.0012180447345597756,0.9768121242523193,0.2,738.1171264648438,-4.18643593788147,8.138418e-05,0.0,47,2761.0205688476562,351.5775680541992,5.0
48,480,44.94867116,0,2.51,516,,,,,,,,,,,,,
49,490,49.48853168000001,0,2.57,518,0.0003,-0.010867953300476074,0.0014144242508340454,0.9766618013381958,0.2,7020.80224609375,-4.185909032821655,1.2880564e-05,0.0,48,13959.8134765625,,
50,500,51.56096872000001,0,2.65,522,0.0003,-0.018580079078674316,0.000863206409849937,0.9765442609786987,0.2,3239.888916015625,-4.185473203659058,7.3075294e-06,0.0,49,7761.22412109375,,
51,510,51.60016240000001,0,2.65,526,0.0003,-0.02934706211090088,-0.0002873182354958814,0.9764478206634521,0.2,2692.666259765625,-4.1851325035095215,1.3113022e-06,0.0,50,4136.2806396484375,,
,520,,,,,0.0003,0.015303313732147217,-0.0013305277330797338,0.9763551950454712,0.2,81.37934875488281,-4.184845685958862,4.2736533e-06,0.0,51,1050.528678894043,255.42046737670898,5.0
52,520,52.00181267,0,2.65,553,,,,,,,,,,,,,
53,530,53.996232760000005,0,2.68,558,0.0003,0.007597804069519043,-0.0010593891376631248,0.976273775100708,0.2,2608.997314453125,-4.184563398361206,1.232028e-05,0.0,52,6429.46044921875,,
54,540,52.34689456,0,2.63,638,0.0003,-0.008054733276367188,0.00010865926742553711,0.9761837720870972,0.2,1086.5748291015625,-4.184308052062988,2.0205975e-06,0.0,53,1312.7483673095703,,
55,550,51.42043955,0,2.64,643,0.0003,0.0179174542427063,-0.0005463779321872586,0.9760093688964844,0.2,67.58106994628906,-4.183976888656616,5.656481e-06,0.0,54,261.44068145751953,,
,560,,,,,0.0003,-0.014908909797668457,0.001334196305833757,0.9758545160293579,0.2,1266.8905029296875,-4.1834397315979,1.7714501e-05,0.0,55,4401.3768310546875,-13.434646844863892,3.0
56,560,52.73378332,0,2.68,653,,,,,,,,,,,,,
57,570,49.40021847999999,0,2.63,656,0.0003,-0.020898103713989258,0.002040743920952437,0.9757455587387085,0.2,410.9768371582031,-4.182987689971924,9.1254715e-06,0.0,56,1508.6747741699219,,
58,580,48.83833046000001,0,2.64,660,0.0003,-0.01916646957397461,-0.00028026105719547445,0.9756572246551514,0.2,808.4232177734375,-4.182685375213623,4.4703484e-07,0.0,57,1621.0219116210938,,
59,590,49.347026590000006,0,2.66,664,0.0003,0.020772218704223633,-0.00026669502840359627,0.9755675792694092,0.2,1044.1614990234375,-4.182408809661865,1.8119812e-06,0.0,58,1439.9703369140625,,
,600,,,,,0.0003,-0.00447535514831543,-0.0010516881942748135,0.9754878878593445,0.2,864.1990966796875,-4.182139873504639,3.0875206e-06,0.0,59,1468.7186279296875,-5.0,1.0
60,600,48.44106622,0,2.66,671,,,,,,,,,,,,,
61,610,44.67310996000001,0,2.62,675,0.0003,0.0036362409591674805,-0.0006186604616225111,0.9754199981689453,0.2,3287.766357421875,-4.181901931762695,4.9054624e-06,0.0,60,6815.401123046875,,
62,620,40.979316010000005,0,2.53,679,0.0003,0.0158042311668396,0.001064491295255543,0.9753598570823669,0.2,397.6336975097656,-4.181694984436035,3.1292439e-06,0.0,61,1209.0882873535156,,
63,630,42.82471909,0,2.56,682,0.0003,0.0051062703132629395,7.545948028564453e-05,0.9753338694572449,0.2,536.6987915039062,-4.181548595428467,3.6478043e-06,0.0,62,925.8584899902344,,
,640,,,,,0.0003,-0.010289430618286133,-0.0003642201423641467,0.975297212600708,0.2,9457.7802734375,-4.181442499160767,1.3947487e-06,0.0,63,12548.05908203125,45.48948287963867,2.0
64,640,45.46514574999999,0,2.58,689,,,,,,,,,,,,,
65,650,45.14548937000001,0,2.57,693,0.0003,-0.0057032108306884766,-0.0003194332064593297,0.975258469581604,0.2,4302.4560546875,-4.181320428848267,2.8014183e-06,0.0,64,5097.84619140625,,
66,660,45.88899812000002,0,2.58,696,0.0003,-0.008202314376831055,-0.007674110215157182,0.9751392602920532,0.2,154.37368774414062,-4.181124925613403,0.000107926135,0.0,65,312.73838806152344,,
67,670,46.17705781999999,0,2.58,700,0.0003,0.0029622912406921387,-0.0018795431125910866,0.9750442504882812,0.2,2079.107666015625,-4.180777072906494,8.454323e-05,0.0,66,5115.141357421875,,
,680,,,,,0.0003,0.020882010459899902,-0.0032200277317313564,0.9749397039413452,0.2,1292.8985595703125,-4.180472135543823,3.414154e-05,0.0,67,1589.9713134765625,14.41769027709961,2.0
68,680,48.76159869,0,2.6,732,,,,,,,,,,,,,
69,690,45.05570108,0,2.56,737,0.0003,-0.002694845199584961,0.00036722421646118164,0.9748494625091553,0.2,2783.622314453125,-4.180153846740723,3.2645465e-05,0.0,68,5620.876953125,,
70,700,46.66635134999999,0,2.58,740,0.0003,0.0007939934730529785,-0.0005641103023661387,0.9747776985168457,0.2,2631.494873046875,-4.179883241653442,9.00507e-05,0.0,69,3954.3465576171875,,
71,710,48.484894139999994,0,2.63,801,0.0003,-0.04358017444610596,-0.002404326247051003,0.9747123718261719,0.2,270.4274597167969,-4.179669618606567,7.532835e-05,0.0,70,557.1859741210938,,
,720,,,,,0.0003,0.0014333128929138184,-0.005621731281280518,0.9746423959732056,0.2,523.806640625,-4.179465293884277,9.762645e-05,0.0,71,1601.217041015625,47.03470706939697,3.0
72,720,47.70783203999999,0,2.62,810,,,,,,,,,,,,,
73,730,47.14520224999999,0,2.62,813,0.0003,-0.03537940979003906,0.0014460683334620583,0.9745745062828064,0.2,76.42576599121094,-4.1792519092559814,6.281734e-05,0.0,72,359.1940231323242,,
74,740,46.202529889999994,0,2.62,857,0.0003,-0.01142740249633789,0.0011503935093060136,0.9744943976402283,0.2,805.2101440429688,-4.179028749465942,2.6935339e-05,0.0,73,1166.2579650878906,,
75,750,44.04463470999999,0,2.57,860,0.0003,-0.041637301445007324,0.0021852971520104347,0.9744096994400024,0.2,1254.884765625,-4.178772449493408,5.0467253e-05,0.0,74,1364.5770797729492,,
,760,,,,,0.0003,-0.021607518196105957,9.2214347387376e-05,0.9743332266807556,0.2,4193.1279296875,-4.178520202636719,3.064871e-05,0.0,75,5928.1229248046875,102.39851951599121,5.0
76,760,43.551633229999986,0,2.6,869,,,,,,,,,,,,,
77,770,41.12916875,0,2.56,873,0.0003,-0.017088890075683594,8.086562302267453e-05,0.974277138710022,0.2,296.95257568359375,-4.178297281265259,1.8411874e-05,0.0,76,1095.1317443847656,,
78,780,41.996323399999994,0,2.59,876,0.0003,-0.005977034568786621,-0.0014746189815921795,0.9742716550827026,0.2,236.99411010742188,-4.1781392097473145,3.8266185e-06,0.0,77,788.6888275146484,,
79,790,42.83693743999999,0,2.63,880,0.0003,0.0008896589279174805,-0.003822504030540408,0.9742969274520874,0.2,1416.9990234375,-4.178170919418335,9.2130904e-05,0.0,78,6486.4847412109375,,
,800,,,,,0.0003,0.013680577278137207,0.002349257562309859,0.9742977023124695,0.2,983.73876953125,-4.178237438201904,0.0001973629,0.0,79,2661.1024780273438,-5.0,1.0
80,800,45.543852099999995,0,2.65,887,,,,,,,,,,,,,
81,810,46.51683458999999,0,2.68,891,0.0003,0.0020501017570495605,-0.00143612630199641,0.9742843508720398,0.2,5181.45263671875,-4.178221225738525,1.7613173e-05,0.0,80,8227.57763671875,,
82,820,45.04388487,0,2.63,895,0.0003,-0.032755494117736816,-9.449124772809014e-05,0.9742673635482788,0.2,114.77478790283203,-4.178173303604126,1.3738871e-05,0.0,81,466.57215881347656,,
83,830,45.65524964,0,2.6,900,0.0003,0.01704460382461548,0.0010787010425703514,0.9742603302001953,0.2,3905.031494140625,-4.178128242492676,1.013875e-05,0.0,82,6448.83349609375,,
,840,,,,,0.0003,-0.005191206932067871,-0.0006841778988020408,0.9742621183395386,0.2,6245.53759765625,-4.178113698959351,7.730722e-06,0.0,83,7215.196472167969,94.40456771850586,3.0
84,840,46.01594285000001,0,2.6,908,,,,,,,,,,,,,
85,850,47.603215649999996,0,2.62,912,0.0003,-0.02441084384918213,-0.00037204028340198647,0.9742419719696045,0.2,432.5832214355469,-4.1781110763549805,1.1205674e-06,0.0,84,2692.386688232422,,
86,860,47.459544560000005,0,2.63,915,0.0003,0.01740032434463501,-3.710985401994549e-05,0.974211573600769,0.2,2440.927978515625,-4.178021430969238,3.1596424e-05,0.0,85,5221.340576171875,,
87,870,46.9802333,0,2.64,919,0.0003,-0.009493470191955566,0.00025974215823221236,0.9741863012313843,0.2,1942.9539794921875,-4.177927255630493,1.14142895e-05,0.0,86,3005.989501953125,,
,880,,,,,0.0003,-0.006297588348388672,0.0012300998438146138,0.9742099642753601,0.2,258.26507568359375,-4.177908182144165,0.00013827086,0.0,87,470.25755310058594,3.846726417541504,3.0
88,880,49.16567763,0,2.69,927,,,,,,,,,,,,,
89,890,51.72762867,0,2.75,930,0.0003,-0.00707244873046875,-0.005314767546951593,0.974197268486023,0.2,2749.97802734375,-4.177939176559448,4.6336652e-05,0.0,88,4497.55126953125,,
90,900,51.66889666,0,2.76,934,0.0003,0.0010803937911987305,0.002070713043212713,0.9741865992546082,0.2,1692.3995361328125,-4.177901029586792,1.8626451e-05,0.0,89,2436.0903930664062,,
91,910,46.415320200000004,0,2.67,939,0.0003,0.01368790864944458,-0.0014633834594861561,0.9741443991661072,0.2,106.2817611694336,-4.1778504848480225,2.514124e-05,0.0,90,454.24022674560547,,
,920,,,,,0.0003,0.0034918785095214844,0.00017140508280144573,0.9741029739379883,0.2,344.831298828125,-4.177738428115845,3.886223e-06,0.0,91,514.9140472412109,75.86880874633789,4.0
92,920,46.34702748000001,0,2.66,950,,,,,,,,,,,,,
93,930,46.97990567,0,2.68,954,0.0003,0.045203328132629395,0.00043030083179473877,0.9740397930145264,0.2,107.50724792480469,-4.177579641342163,5.072355e-06,0.0,92,1241.7440567016602,,
94,940,47.36639025,0,2.67,974,0.0003,0.002727329730987549,3.3974647521972656e-05,0.973971962928772,0.2,1635.44580078125,-4.177381753921509,2.884865e-06,0.0,93,3890.6038818359375,,
95,950,45.876961609999995,0,2.64,979,0.0003,-0.018355250358581543,0.0009938657050954092,0.973915696144104,0.2,6113.01220703125,-4.1771767139434814,4.684925e-06,0.0,94,8342.288330078125,,
,960,,,,,0.0003,0.03046882152557373,0.0013044237857684493,0.9739243388175964,0.2,136.9907684326172,-4.1770570278167725,1.4442206e-05,0.0,95,241.0240707397461,248.0643310546875,5.0
96,960,46.39033909999999,0,2.65,987,,,,,,,,,,,,,
97,970,48.22695127,0,2.65,1037,0.0003,-0.015117049217224121,-0.0009748786687850952,0.9739286303520203,0.2,2266.912841796875,-4.177079916000366,1.1128187e-05,0.0,96,5446.75048828125,,
98,980,47.41621097,0,2.62,1041,0.0003,-0.006882309913635254,-0.0004954696050845087,0.973929762840271,0.2,4225.71533203125,-4.177080869674683,3.2424928e-06,0.0,97,9017.794921875,,
99,990,48.952997749999994,0,2.64,1044,0.0003,-0.026804804801940918,-0.0030861199833451813,0.9738912582397461,0.2,112.64214324951172,-4.177063941955566,2.6613474e-05,0.0,98,267.39259338378906,,
,1000,,,,,0.0003,-0.0022810697555541992,0.0014291167492048729,0.9738344550132751,0.2,3413.995849609375,-4.1769187450408936,4.6253203e-06,0.0,99,4174.617248535156,97.88070893287659,5.0
100,1000,49.835286249999996,0,2.68,1056,,,,,,,,,,,,,
101,1010,52.70637510999999,0,2.75,1060,0.0003,-0.025462985038757324,0.001131552527658286,0.9737788438796997,0.2,493.8056945800781,-4.176757097244263,3.196597e-05,0.0,100,1179.4581604003906,,
102,1020,55.947685089999986,0,2.81,1063,0.0003,0.028894245624542236,0.0002828121185300958,0.9737277030944824,0.2,2038.888916015625,-4.176577091217041,5.155802e-06,0.0,101,5409.2930908203125,,
103,1030,54.46089906999999,0,2.79,1067,0.0003,7.408857345581055e-05,-0.002778732916340232,0.9736840724945068,0.2,2708.329345703125,-4.1764304637908936,2.0718575e-05,0.0,102,3930.6695556640625,,
,1040,,,,,0.0003,-0.012259840965270996,-0.0014368177158754492,0.9736588001251221,0.2,3366.049560546875,-4.176311016082764,1.717806e-05,0.0,103,4189.816589355469,113.58159255981445,3.0
104,1040,56.07866693999999,0,2.74,1077,,,,,,,,,,,,,
105,1050,54.80991438000001,0,2.74,1081,0.0003,0.016683995723724365,0.0004903674125671387,0.9736435413360596,0.2,531.5949096679688,-4.1762425899505615,2.4199487e-06,0.0,104,1268.1593627929688,,
106,1060,51.91420293,0,2.67,1084,0.0003,-0.010091900825500488,-0.002035677572712391,0.9736356139183044,0.2,107.78010559082031,-4.176208734512329,2.0879508e-05,0.0,105,578.3218688964844,,
107,1070,52.59425693,0,2.71,1089,0.0003,-0.04167473316192627,0.0016377568244934082,0.9735929369926453,0.2,1763.3951416015625,-4.176159143447876,3.1000378e-05,0.0,106,4561.53759765625,,
,1080,,,,,0.0003,0.002686917781829834,-0.0011825456982457183,0.9735416769981384,0.2,4656.7880859375,-4.176009654998779,3.2424928e-06,0.0,107,6464.742919921875,159.81814375519753,5.0
108,1080,54.026913050000005,0,2.71,1099,,,,,,,,,,,,,
109,1090,52.38684185,0,2.74,1102,0.0003,0.034736692905426025,-0.0009934664005415428,0.9734963178634644,0.2,5955.26904296875,-4.17585301399231,1.2463332e-05,0.0,108,6660.5113525390625,,
110,1100,54.1612757,0,2.78,1106,0.0003,-0.007903814315795898,0.0008363008382730186,0.9734503626823425,0.2,195.7080078125,-4.175714015960693,3.898144e-06,0.0,109,407.90013122558594,,
111,1110,52.703240980000004,0,2.77,1133,0.0003,-0.013469457626342773,0.000450947874924168,0.9733943343162537,0.2,4200.822265625,-4.17556095123291,3.886223e-06,0.0,110,7678.896240234375,,
,1120,,,,,0.0003,-0.03478384017944336,-0.0002456933201759881,0.9733384847640991,0.2,910.5196533203125,-4.175391674041748,1.4662743e-06,0.0,111,1734.0233764648438,73.55194091796875,5.0
112,1120,52.405197369999996,0,2.79,1145,,,,,,,,,,,,,
113,1130,49.28467221,0,2.72,1148,0.0003,-0.03404641151428223,0.0008150577777996659,0.9732656478881836,0.2,232.25985717773438,-4.17520546913147,6.699562e-06,0.0,112,924.0023040771484,,
114,1140,50.80417778,0,2.72,1153,0.0003,0.001866161823272705,-0.0008304685587061655,0.9731110334396362,0.2,340.9866943359375,-4.17496919631958,4.5359134e-06,0.0,113,1210.781494140625,,
115,1150,51.07292021999999,0,2.74,1158,0.0003,0.01516789197921753,0.0034188717138032843,0.9729152917861938,0.2,1305.3846435546875,-4.174386024475098,3.0255318e-05,0.0,114,2659.7596435546875,,
,1160,,,,,0.0003,-0.006377458572387695,1.5941262608620832e-05,0.9727429151535034,0.2,732.9775390625,-4.1737940311431885,1.8054247e-05,0.0,115,1181.6368713378906,29.29709482192993,3.0
116,1160,49.27843807,0,2.67,1168,,,,,,,,,,,,,
117,1170,50.01642371,0,2.73,1196,0.0003,0.009521722793579102,-0.0004592001554555303,0.9725360870361328,0.2,313.0281066894531,-4.173288583755493,2.9957295e-05,0.0,116,1457.7217712402344,,
118,1180,51.05662803,0,2.76,1200,0.0003,0.003843367099761963,-0.002848005387932062,0.9722433090209961,0.2,254.6045684814453,-4.172559022903442,0.0003034532,0.0,117,887.9378356933594,,
119,1190,51.40422403,0,2.8,1204,0.0003,0.036559998989105225,0.005860561039298773,0.971950888633728,0.2,291.8365783691406,-4.17162299156189,8.939505e-05,0.0,118,1017.0312805175781,,
,1200,,,,,0.0003,0.004034161567687988,-0.0032163292169571367,0.9716968536376953,0.2,224.89810180664062,-4.1707398891448975,4.8005582e-05,0.0,119,926.3856811523438,-10.0,2.0
120,1200,53.0878837,0,2.83,1270,,,,,,,,,,,,,
121,1210,49.681343719999994,0,2.77,1275,0.0003,0.039415955543518066,-0.0035575509537011385,0.971486508846283,0.2,1294.5135498046875,-4.169981479644775,3.5744906e-05,0.0,120,4264.4393310546875,,
122,1220,48.069766609999995,0,2.74,1278,0.0003,-0.0772315263748169,-0.001975095411762773,0.9713017344474792,0.2,182.56341552734375,-4.1693456172943115,3.460646e-05,0.0,121,380.8923034667969,,
123,1230,48.27940213,0,2.73,1283,0.0003,-0.009393453598022461,0.00035455824108865386,0.9711490869522095,0.2,2604.956787109375,-4.168795585632324,2.1880865e-05,0.0,122,4733.6083984375,,
,1240,,,,,0.0003,0.034628868103027344,0.00031720400438661756,0.9710022211074829,0.2,713.91064453125,-4.168337345123291,2.0098687e-05,0.0,123,948.8259582519531,101.50271987915039,3.0
124,1240,48.09576767000001,0,2.71,1291,,,,,,,,,,,,,
125,1250,49.71072001,0,2.74,1294,0.0003,-0.013585209846496582,0.0007803186890669167,0.9708666205406189,0.2,10206.931640625,-4.1678760051727295,1.5765429e-05,0.0,124,16307.19775390625,,
126,1260,52.73046751000001,0,2.8,1337,0.0003,-0.029866695404052734,-0.0005118847009724092,0.9707645177841187,0.2,2100.49658203125,-4.167477607727051,7.1346763e-06,0.0,125,3661.5374755859375,,
