eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates,train/std,train/approx_kl,train/policy_gradient_loss,train/learning_rate
349.83656311035156,5.0,6560,,,,,,10950.654515075683,5026.4208984375,0.27237117290496826,0.29250000678002835,0.2,-3.6156493037939073,1630,0.8286773562431335,0.024321165,0.00525685994361993,0.0003
,,6560,10003,282.90324110000006,0,164,4.32,,,,,,,,,,,
458.94496154785156,5.0,6600,,,,,,6031.4035919189455,3797.304931640625,0.5435554385185242,0.34250000696629285,0.2,-3.612391543388367,1640,0.8276435732841492,0.018333485,0.01146823586430401,0.0003
,,6600,10020,284.94898182000003,0,165,4.34,,,,,,,,,,,
440.53926849365234,5.0,6640,,,,,,7668.695069885254,1948.9058837890625,0.31320852041244507,0.20000000428408385,0.2,-3.6112728625535966,1650,0.8300075531005859,0.027640242,0.01055560388078447,0.0003
,,6640,10039,296.37335172,0,166,4.42,,,,,,,,,,,
384.89634704589844,5.0,6680,,,,,,7875.943935394287,1512.18603515625,0.33716338872909546,0.5250000119209289,0.2,-3.619216600060463,1660,0.831408679485321,0.06601859,-0.004104804382950533,0.0003
,,6680,10055,308.13535141999995,0,167,4.5,,,,,,,,,,,
405.36412811279297,5.0,6720,,,,,,6493.232962799072,5177.06494140625,0.5382533073425293,0.12250000182539225,0.2,-3.624991571903229,1670,0.8346431255340576,0.012208195,-0.005135978653602246,0.0003
,,6720,10069,317.30209518000004,0,168,4.59,,,,,,,,,,,
379.23670959472656,5.0,6760,,,,,,4930.586597442627,3178.648681640625,0.5281373560428619,0.22000000458210706,0.2,-3.629540142416954,1680,0.8351491689682007,0.010929095,-0.0015833938444757222,0.0003
,,6760,10083,327.79871240999995,0,169,4.69,,,,,,,,,,,
369.91213607788086,5.0,6800,,,,,,5808.682247161865,4518.16552734375,0.48819613456726074,0.25000000577419995,0.2,-3.631099757552147,1690,0.8356481790542603,0.03897961,-0.01386866343884321,0.0003
,,6800,10100,324.17917821,0,170,4.66,,,,,,,,,,,
391.5829734802246,5.0,6840,,,,,,7910.387426757812,2196.80615234375,0.389948308467865,0.17000000420957803,0.2,-3.637367257475853,1700,0.8400198817253113,0.018523298,-0.005517391622743162,0.0003
,,6840,10117,329.05012324,0,171,4.71,,,,,,,,,,,
354.5897331237793,5.0,6880,,,,,,6788.875274658203,6945.95068359375,0.4494021534919739,0.2700000056996942,0.2,-3.64457748234272,1710,0.8414613604545593,0.02170185,-0.01792976255846952,0.0003
,,6880,10135,331.55616841999995,0,172,4.7,,,,,,,,,,,
144.97748565673828,3.0,6920,,,,,,8857.701509094239,8978.51171875,0.38100260496139526,0.18500000350177287,0.2,-3.6409390211105346,1720,0.8388180136680603,0.018349973,0.006834357735351659,0.0003
,,6920,10153,318.83745346,0,173,4.58,,,,,,,,,,,
359.2358703613281,5.0,6960,,,,,,14351.035987854004,15952.98828125,-0.081390380859375,0.16250000335276127,0.2,-3.634173256158829,1730,0.8382037878036499,0.026912272,-0.012270351029292215,0.0003
,,6960,10169,328.20315802000005,0,174,4.61,,,,,,,,,,,
407.3054885864258,5.0,7000,,,,,,9756.515872192384,2953.901611328125,0.3582177758216858,0.25500000547617674,0.2,-3.6310282021760942,1740,0.8358033895492554,0.034696095,-0.0069719943666223475,0.0003
,,7000,10191,329.55769867,0,175,4.6,,,,,,,,,,,
334.3934669494629,5.0,7040,,,,,,7351.913597106934,2548.75634765625,0.43682509660720825,0.18750000409781933,0.2,-3.622600132226944,1750,0.8352298736572266,0.016086938,-0.009477721500334147,0.0003
,,7040,10210,324.78616451,0,176,4.57,,,,,,,,,,,
280.6047668457031,5.0,7080,,,,,,9314.218328857422,2492.3095703125,0.2917163372039795,0.31500000730156896,0.2,-3.618933919072151,1760,0.8341403007507324,0.026380453,-0.052955747216401505,0.0003
,,7080,10232,324.16783353999995,0,177,4.57,,,,,,,,,,,
397.50209045410156,5.0,7120,,,,,,11988.734451293945,23563.375,0.15147757530212402,0.17500000391155482,0.2,-3.614990359544754,1770,0.8332910537719727,0.023242148,-0.013360869593525426,0.0003
,,7120,10252,308.16516984000003,0,178,4.43,,,,,,,,,,,
292.79923248291016,5.0,7160,,,,,,21230.20801086426,4905.4189453125,-0.2017354965209961,0.1850000036880374,0.2,-3.610118028521538,1780,0.8313114047050476,0.013598166,-1.4219613512977958e-05,0.0003
,,7160,10318,308.70940222999997,0,179,4.42,,,,,,,,,,,
363.53709411621094,5.0,7200,,,,,,6255.455813598633,1963.4093017578125,0.4469914436340332,0.42000000886619093,0.2,-3.6078958809375763,1790,0.8325974345207214,0.060512394,-0.044275017693507834,0.0003
,,7200,10338,301.54949657,0,180,4.35,,,,,,,,,,,
292.6875591278076,5.0,7240,,,,,,9104.074671173095,1081.231689453125,0.36939388513565063,0.3125000076368451,0.2,-3.6119123995304108,1800,0.8363242149353027,0.054388367,0.01766282520955429,0.0003
,,7240,10358,299.77460821,0,181,4.34,,,,,,,,,,,
341.19933319091797,5.0,7280,,,,,,11133.908840942382,9483.5322265625,0.23321926593780518,0.4900000115856528,0.2,-3.6160931557416918,1810,0.8358022570610046,0.03653478,-0.048987141890684135,0.0003
,,7280,10372,300.81597189999997,0,182,4.31,,,,,,,,,,,
362.29687118530273,5.0,7320,,,,,,10538.917597961427,2726.24658203125,0.294588565826416,0.5775000099092722,0.2,-3.6120916068553925,1820,0.8348779082298279,0.087037615,0.0345517624221975,0.0003
,,7320,10393,291.50596714000005,0,183,4.22,,,,,,,,,,,
328.96677589416504,5.0,7360,,,,,,19598.330346679686,12906.6298828125,-0.20756292343139648,0.4425000075250864,0.2,-3.6097954541444777,1830,0.8346320390701294,0.016703816,-0.025488976908527583,0.0003
,,7360,10411,293.7287288,0,184,4.24,,,,,,,,,,,
260.64081954956055,5.0,7400,,,,,,10248.124911499024,1932.5260009765625,0.2017863392829895,0.15250000283122062,0.2,-3.6054104298353193,1840,0.832415759563446,0.01847722,-0.015773221199378896,0.0003
,,7400,10429,288.87809086,0,185,4.24,,,,,,,,,,,
340.72423934936523,5.0,7440,,,,,,6339.44164352417,11159.0400390625,0.3335950970649719,0.2575000053271651,0.2,-3.5975931912660597,1850,0.8311742544174194,0.010042347,-0.019336500975332453,0.0003
,,7440,10445,285.78230254000005,0,186,4.25,,,,,,,,,,,
425.10876846313477,5.0,7480,,,,,,6808.398611450195,1979.942626953125,0.38562023639678955,0.38250000812113283,0.2,-3.591382285952568,1860,0.829753577709198,0.04645721,-0.02969345969700954,0.0003
,,7480,10460,289.02785065999996,0,187,4.27,,,,,,,,,,,
