time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss,train/loss,train/std,train/learning_rate,train/explained_variance,train/clip_range,train/clip_fraction
680,47.70614242553711,3.0,,,,,,-0.016059598244910378,160,332.271862411499,0.01132823,-4.195614552497863,60.966026306152344,0.9789924621582031,0.0003,0.015852928161621094,0.2,0.14750000331550836
680,,,0,1263,17,16.86002626,2.39,,,,,,,,,,,
720,37.80746841430664,2.0,,,,,,-0.023427052181314155,170,2349.8697925567626,0.01714247,-4.189119809865952,81.4830093383789,0.977439284324646,0.0003,0.007202088832855225,0.2,0.2200000047683716
720,,,0,1328,18,17.28376093,2.34,,,,,,,,,,,
760,-10.0,2.0,,,,,,-0.01504950284725055,180,3049.5785201072695,0.012671683,-4.183034747838974,3181.283447265625,0.9752391576766968,0.0003,-0.009480834007263184,0.2,0.20750000439584254
760,,,0,1385,19,16.946404830000002,2.15,,,,,,,,,,,
800,60.630422592163086,3.0,,,,,,-0.023946378963319147,190,2106.655699920654,0.015894843,-4.176540571451187,322.4503479003906,0.972957968711853,0.0003,0.0012571215629577637,0.2,0.16000000275671483
800,,,0,1463,20,15.112216329999999,1.99,,,,,,,,,,,
840,9.385835647583008,3.0,,,,,,-0.010143985087233886,200,960.5740351676941,0.016991906,-4.167347544431687,267.43255615234375,0.9698300361633301,0.0003,0.016798853874206543,0.2,0.07000000104308128
840,,,0,1556,21,21.6940167,2.01,,,,,,,,,,,
880,6.056386947631836,2.0,,,,,,-0.0140907317249372,210,21284.909254074097,0.009268043,-4.161133432388306,181.2386474609375,0.9684855341911316,0.0003,-0.011862993240356445,0.2,0.12250000238418579
880,,,0,1617,22,23.471153590000004,2.08,,,,,,,,,,,
920,35.3747444152832,2.0,,,,,,-0.02201752367574956,220,2546.613072967529,0.024810104,-4.15849494934082,1888.570556640625,0.9685880541801453,0.0003,0.005491912364959717,0.2,0.16500000283122063
920,,,0,1662,23,27.026451849999997,2.08,,,,,,,,,,,
960,-5.0,1.0,,,,,,-0.01824429820037039,230,4824.44068107605,0.015530932,-4.157923984527588,1214.4520263671875,0.9677137136459351,0.0003,-0.012622237205505371,0.2,0.21500000432133676
960,,,0,1737,24,28.621454500000006,2.1,,,,,,,,,,,
1000,-5.0,1.0,,,,,,0.0010096504085231662,240,5605.495628356934,0.021621875,-4.15332921743393,175.08045959472656,0.9654248952865601,0.0003,-0.0013371706008911133,0.2,0.22500000428408384
1000,,,0,1797,25,27.562787309999997,2.16,,,,,,,,,,,
1040,35.579301834106445,5.0,,,,,,0.003141353173778061,250,593.8006713867187,0.0112893125,-4.142717456817627,257.61181640625,0.9616860151290894,0.0003,-0.003561258316040039,0.2,0.16000000294297934
1040,,,0,1854,26,27.5663469,2.27,,,,,,,,,,,
1080,125.15509223937988,3.0,,,,,,-0.03324868659030471,260,550.4521053314209,0.048583597,-4.139811342954635,336.7853698730469,0.963124692440033,0.0003,-0.07563579082489014,0.2,0.3725000085309148
1080,,,0,1888,27,25.494187670000002,2.22,,,,,,,,,,,
1120,-24.131370067596436,5.0,,,,,,-0.004339506153301043,270,1237.0735027313233,0.02829868,-4.130363410711288,986.896484375,0.9563220739364624,0.0003,-0.011565804481506348,0.2,0.12750000301748515
1120,,,0,1912,28,26.136689620000002,2.27,,,,,,,,,,,
1160,20.161348342895508,2.0,,,,,,-0.011588168625858087,280,3635.8981966018678,0.011125358,-4.117768722772598,2564.509033203125,0.9546090960502625,0.0003,-0.009493827819824219,0.2,0.08750000149011612
1160,,,0,1941,29,27.67011676,2.27,,,,,,,,,,,
1200,18.331113815307617,2.0,,,,,,-0.0199465885002428,290,17634.34199333191,0.017553575,-4.112846946716308,19526.705078125,0.9534784555435181,0.0003,-0.010239481925964355,0.2,0.14000000320374967
1200,,,0,1967,30,33.80860561,2.37,,,,,,,,,,,
1240,66.82842254638672,2.0,,,,,,-0.02286829268542534,300,7138.16813659668,0.027366579,-4.108720058202744,2520.676025390625,0.9518415331840515,0.0003,-0.007976412773132324,0.2,0.16000000331550837
1240,,,0,2014,31,36.40191841,2.3,,,,,,,,,,,
1280,55.045745849609375,3.0,,,,,,-0.03364139165903908,310,5459.365628433227,0.029029613,-4.104849016666412,8115.263671875,0.9512945413589478,0.0003,0.0018543601036071777,0.2,0.2800000052899122
1280,,,0,2145,32,38.261283320000004,2.18,,,,,,,,,,,
1320,96.13123321533203,2.0,,,,,,0.0001062776054459369,320,1362.6987812042237,0.007907387,-4.107772392034531,329.9500427246094,0.9530479907989502,0.0003,-0.05191147327423096,0.2,0.12750000245869159
1320,,,0,2172,33,44.4056941,2.22,,,,,,,,,,,
1360,-10.0,2.0,,,,,,-0.005984286091916147,330,8787.868465042115,0.0082472935,-4.109409511089325,1331.085693359375,0.952531099319458,0.0003,0.01395559310913086,0.2,0.042500000633299354
1360,,,0,2226,34,37.29519253,2.01,,,,,,,,,,,
1400,198.18164443969727,4.0,,,,,,-0.007506806980291003,340,3152.0613540649415,0.010236528,-4.107364982366562,382.8409118652344,0.952046811580658,0.0003,0.004013478755950928,0.2,0.06500000115483999
1400,,,0,2250,35,38.18639844,2.02,,,,,,,,,,,
1440,147.86059188842773,3.0,,,,,,-0.002360294872378288,350,4565.712563323975,0.016108537,-4.104669773578644,607.8139038085938,0.9511975049972534,0.0003,-0.0022748708724975586,0.2,0.24500000495463609
1440,,,0,2279,36,46.653568299999996,2.17,,,,,,,,,,,
1480,-5.0,1.0,,,,,,-0.002845170805635444,360,7257.613130950927,0.0050250096,-4.102928334474564,582.8858032226562,0.9507417678833008,0.0003,0.011594951152801514,0.2,0.015000000223517418
1480,,,0,2384,37,49.99758755,2.1,,,,,,,,,,,
1520,59.03449249267578,2.0,,,,,,-0.009867548092151956,370,11567.415979003907,0.01301112,-4.101719671487809,628.4415893554688,0.9506096243858337,0.0003,-0.03695797920227051,0.2,0.1400000024586916
1520,,,0,2471,38,48.62899522,2.09,,,,,,,,,,,
1560,19.0443115234375,2.0,,,,,,-0.026714719197407245,380,9376.682869720458,0.015821856,-4.1019169092178345,10013.74609375,0.9505925178527832,0.0003,-0.006858229637145996,0.2,0.2775000059977174
1560,,,0,2496,39,49.984215999999996,2.2,,,,,,,,,,,
1600,190.95616722106934,4.0,,,,,,-0.007013162678631524,390,3561.0199310302733,0.008786108,-4.097645622491837,739.9854125976562,0.9482645988464355,0.0003,-0.012467384338378906,0.2,0.19000000432133674
1600,,,0,2565,40,43.19097399999999,2.07,,,,,,,,,,,
1640,-5.0,1.0,,,,,,-0.019244427100893514,400,3955.2390213012695,0.019625854,-4.091638684272766,2139.268798828125,0.9465891122817993,0.0003,-0.06281697750091553,0.2,0.15250000301748515
1640,,,0,2596,41,38.68090839,2.0,,,,,,,,,,,
1680,-2.3668092489242554,4.0,,,,,,-0.019295033205926303,410,2336.831002044678,0.017317869,-4.087555253505707,704.7039794921875,0.9454361796379089,0.0003,-0.07009613513946533,0.2,0.0675000013783574
1680,,,0,2622,42,35.05810388,2.05,,,,,,,,,,,
1720,102.43140411376953,2.0,,,,,,-0.0002721965418459149,420,7927.14362487793,0.00092779554,-4.082499915361405,3374.19970703125,0.9433231353759766,0.0003,-0.042111754417419434,0.2,0.0
1720,,,0,2648,43,30.78591936,2.02,,,,,,,,,,,
1760,0.7318682670593262,2.0,,,,,,-0.010166239543946177,430,4744.661596298218,0.018302865,-4.080672717094421,2568.513671875,0.9443672895431519,0.0003,-0.0099259614944458,0.2,0.15250000339001418
1760,,,0,2677,44,33.83267633,2.03,,,,,,,,,,,
1800,-5.0,1.0,,,,,,-0.014211651353980415,440,5583.173624420166,0.014657196,-4.081681436300277,601.605224609375,0.9435070753097534,0.0003,-0.05568969249725342,0.2,0.0775000013411045
1800,,,0,2701,45,32.78575661,2.08,,,,,,,,,,,
1840,180.5086898803711,3.0,,,,,,-0.005968834626110042,450,2622.676306915283,0.0027763247,-4.08106729388237,1954.1400146484375,0.944311797618866,0.0003,-0.019080758094787598,0.2,0.0
1840,,,0,2782,46,28.48047716,2.03,,,,,,,,,,,
1880,-10.0,2.0,,,,,,-0.018286602253756428,460,2857.6987487792967,0.011807961,-4.078901880979538,422.952880859375,0.9422169923782349,0.0003,0.010873794555664062,0.2,0.16250000279396773
1880,,,0,2838,47,27.419945050000003,1.94,,,,,,,,,,,
1920,137.5324935913086,4.0,,,,,,-0.015403008829307651,470,2642.5742881774904,0.014432266,-4.073706275224685,1618.1474609375,0.9413110613822937,0.0003,-0.02262413501739502,0.2,0.16000000350177288
1920,,,0,2951,48,15.281875370000002,1.75,,,,,,,,,,,
1960,-10.0,2.0,,,,,,-0.018664928892612797,480,1455.2239505767823,0.015836554,-4.070054990053177,343.3190612792969,0.9401280879974365,0.0003,0.023543179035186768,0.2,0.21000000424683093
1960,,,0,2979,49,19.67751581,1.81,,,,,,,,,,,
2000,3.602436065673828,2.0,,,,,,-0.001137772340116494,490,4716.023059844971,0.029526722,-4.064077812433243,1542.3052978515625,0.9379252791404724,0.0003,0.0016793012619018555,0.2,0.24750000517815351
2000,,,0,3004,50,22.206279140000003,1.8,,,,,,,,,,,
