eval/mean_reward,eval/mean_ep_length,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/value_loss,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/std,train/clip_range,train/learning_rate
77.13402938842773,5.0,40,,,,,,,,,,,,,,,,
,,40,2.5714285714285716,23,-0.9924351428571428,1,1,,,,,,,,,,,
-3.218281626701355,2.0,80,,,,,,10,419.5677636861801,45.86587905883789,-4.245205152034759,0.3525000074878335,0.016661643981933594,-0.04369651423476171,0.039044917,0.9926220774650574,0.2,0.0003
,,80,2.6333333333333333,49,1.5148538999999999,1,2,,,,,,,,,,,
-15.0,3.0,120,,,,,,20,407.2268376708031,537.7285766601562,-4.2293815314769745,0.25000000521540644,0.001800239086151123,-0.027608372285103544,0.01832371,0.9894030094146729,0.2,0.0003
,,120,2.4489795918367347,80,0.7813354081632654,1,3,,,,,,,,,,,
2.153231620788574,3.0,160,,,,,,30,140.11154274940492,22.335451126098633,-4.2155862808227536,0.38000000938773154,0.008349418640136719,-0.015486623800825328,0.024555307,0.9830605387687683,0.2,0.0003
,,160,2.46875,137,3.90731903125,1,4,,,,,,,,,,,
145.5750274658203,5.0,200,,,,,,40,605.4910482168198,323.83221435546875,-4.200567078590393,0.23750000540167093,0.014218449592590332,-0.02172252973525246,0.03438423,0.9798998832702637,0.2,0.0003
,,200,2.518987341772152,169,6.010374898734178,1,5,,,,,,,,,,,
36.3730092048645,3.0,240,,,,,,50,747.4832462310791,381.962158203125,-4.193400090932846,0.20000000465661288,-0.0020292997360229492,-0.021441746973869157,0.009894069,0.9791793823242188,0.2,0.0003
,,240,2.5698924731182795,233,9.036823086021505,1,6,,,,,,,,,,,
86.89037322998047,5.0,280,,,,,,60,1143.6305173873902,871.3226318359375,-4.190379464626313,0.042500000633299354,0.011668264865875244,0.0004682414378839539,0.0018937096,0.9767847061157227,0.2,0.0003
,,280,2.6,261,10.68371006,1,7,,,,,,,,,,,
9.953453063964844,4.0,320,,,,,,70,729.0062132358551,536.3456420898438,-4.18516902923584,0.26000000461935996,-0.0065691471099853516,-0.024669678909958748,0.024328906,0.9769858121871948,0.2,0.0003
,,320,2.5,332,10.85839952,0,8,,,,,,,,,,,
-19.52952542901039,5.0,360,,,,,,80,231.3492720603943,74.09285736083984,-4.188695800304413,0.12000000216066838,-0.040067434310913086,-0.006923109831304819,0.006512654,0.9778060913085938,0.2,0.0003
,,360,2.52,418,14.471086960000001,0,9,,,,,,,,,,,
2.0776443481445312,2.0,400,,,,,,90,1173.9168935775756,101.43897247314453,-4.1847234785556795,0.22500000502914191,-0.0011086463928222656,-0.011313263705233112,0.026592012,0.9743553400039673,0.2,0.0003
,,400,2.63,653,17.74754138,0,10,,,,,,,,,,,
-14.910506248474121,3.0,440,,,,,,100,2826.2742213249207,235.5630340576172,-4.173252248764038,0.21250000558793544,0.0028145909309387207,-0.011035851743799863,0.02365164,0.9715193510055542,0.2,0.0003
,,440,2.57,719,16.73349538,0,11,,,,,,,,,,,
-3.867535352706909,5.0,480,,,,,,110,376.0294159889221,384.7466735839844,-4.173504507541656,0.13500000201165677,-0.038846492767333984,-0.013222761910437841,0.016304955,0.9742429256439209,0.2,0.0003
,,480,2.57,747,18.37526756,0,12,,,,,,,,,,,
115.77816247940063,5.0,520,,,,,,120,1347.015524482727,267.18212890625,-4.176577603816986,0.35250000916421415,-0.005770564079284668,-0.025816399089126207,0.026463768,0.9730668067932129,0.2,0.0003
,,520,2.63,772,18.51248106,0,13,,,,,,,,,,,
14.753862380981445,2.0,560,,,,,,130,1446.9731121063232,170.26336669921875,-4.170354521274566,0.210000004991889,0.006742656230926514,-0.02343872143530461,0.018009799,0.97064608335495,0.2,0.0003
,,560,2.72,799,25.27044894,0,14,,,,,,,,,,,
42.342369079589844,5.0,600,,,,,,140,4905.273324966431,3007.32177734375,-4.164128428697586,0.020000000298023225,0.011241376399993896,-0.01398887323030067,0.007410705,0.9690607786178589,0.2,0.0003
,,600,2.73,831,26.86638417,0,15,,,,,,,,,,,
4.120782852172852,3.0,640,,,,,,150,523.7239141464233,135.54283142089844,-4.159966462850571,0.2350000051781535,0.03375512361526489,0.003353382466666499,0.019379761,0.9679286479949951,0.2,0.0003
,,640,2.53,863,22.298320500000003,0,16,,,,,,,,,,,
25.21649932861328,2.0,680,,,,,,160,303.76459255218504,95.6644515991211,-4.151706516742706,0.10250000208616257,0.04860430955886841,-0.007740187981326229,0.008157073,0.963092029094696,0.2,0.0003
,,680,2.45,894,21.211966529999998,0,17,,,,,,,,,,,
185.66379356384277,5.0,720,,,,,,170,695.6779035568237,231.1762237548828,-4.135319262742996,0.2475000061094761,-0.0060607194900512695,-0.015177360840098108,0.051427357,0.9598390460014343,0.2,0.0003
,,720,2.48,923,23.37328741,0,18,,,,,,,,,,,
7.342181205749512,3.0,760,,,,,,180,2937.073725891113,100.17156982421875,-4.132038593292236,0.3175000067800283,0.004493057727813721,-0.03972451022867971,0.021195538,0.9599031209945679,0.2,0.0003
,,760,2.37,986,23.49559930000001,0,19,,,,,,,,,,,
-5.0,1.0,800,,,,,,190,1933.2313800811767,342.29449462890625,-4.12794240117073,0.35250000916421415,-0.02075362205505371,-0.04261726904770512,0.034709737,0.9576107263565063,0.2,0.0003
,,800,2.39,1110,22.762344050000003,0,20,,,,,,,,,,,
97.52541542053223,5.0,840,,,,,,200,2017.4628400802612,792.6514282226562,-4.121189177036285,0.11750000193715096,-0.001978635787963867,-0.012268467235480784,0.0131576285,0.9556440114974976,0.2,0.0003
,,840,2.49,1176,25.508573700000003,0,21,,,,,,,,,,,
-5.0,1.0,880,,,,,,210,1640.2598606109618,1572.7589111328125,-4.113871848583221,0.2850000062957406,0.009967684745788574,-0.007341568051342584,0.023152491,0.9528848528862,0.2,0.0003
,,880,2.47,1258,27.62333187,0,22,,,,,,,,,,,
-5.0,1.0,920,,,,,,220,2925.121448135376,790.5994262695312,-4.108251738548279,0.12750000227242708,-0.017404913902282715,-0.008709280726470748,0.02204941,0.9527685046195984,0.2,0.0003
,,920,2.53,1279,33.55284573,0,23,,,,,,,,,,,
9.765646934509277,2.0,960,,,,,,230,5306.6074703216555,4419.6328125,-4.106048059463501,0.15250000301748515,0.016143321990966797,-0.014921435651776838,0.010390589,0.9510952830314636,0.2,0.0003
,,960,2.56,1305,36.180233359999995,0,24,,,,,,,,,,,
127.20493221282959,5.0,1000,,,,,,240,3520.7230010986327,1607.705810546875,-4.100419330596924,0.06750000100582838,-0.012998104095458984,-0.007184250755381072,0.006185283,0.9501174688339233,0.2,0.0003
,,1000,2.57,1382,37.59477053999999,0,25,,,,,,,,,,,
