time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/std
920,5.0,38.89661359786987,,,,,,0.0101477085,0.0003,-0.13428831100463867,220,172.6446075439453,-4.0470297038555145,0.2025000037625432,-0.020948714369897058,426.8648036003113,0.2,0.9315404295921326
920,,,2076,0,71.26881724,3.24,23,,,,,,,,,,,
960,5.0,41.667635917663574,,,,,,0.012079795,0.0003,0.03837382793426514,230,81.294189453125,-4.037432527542114,0.10500000212341547,-0.02547139153059108,643.6618724822998,0.2,0.9285732507705688
960,,,2159,0,72.83474263,3.4,24,,,,,,,,,,,
1000,1.0,-5.0,,,,,,0.0308384,0.0003,-0.05469822883605957,240,361.2871398925781,-4.029916000366211,0.20500000435858964,-0.011752041731604091,376.7593842387199,0.2,0.9263917803764343
1000,,,2192,0,15.02329323,3.39,25,,,,,,,,,,,
1040,5.0,-10.421762466430664,,,,,,0.036358695,0.0003,-0.009407281875610352,250,58.98977279663086,-4.019676858186722,0.3525000086054206,-0.035171529172803286,363.804958152771,0.2,0.9222263693809509
1040,,,2235,0,15.555020100000002,3.41,26,,,,,,,,,,,
1080,2.0,3.892343521118164,,,,,,0.01691556,0.0003,-0.03177034854888916,260,433.24493408203125,-4.004669922590256,0.17000000309199095,-0.014080336798215288,555.801978302002,0.2,0.9181928634643555
1080,,,2331,0,18.958028400000003,3.55,27,,,,,,,,,,,
1120,2.0,-8.331470251083374,,,,,,0.011315365,0.0003,0.024434208869934082,270,82.1451416015625,-3.9916230112314226,0.19500000383704902,-0.02359009972300554,1402.179337310791,0.2,0.9147748947143555
1120,,,2366,0,20.23187664,3.49,28,,,,,,,,,,,
1160,5.0,38.570682525634766,,,,,,0.008457378,0.0003,-0.010278820991516113,280,180.3610382080078,-3.986550545692444,0.06500000115483999,-0.005822286314651137,2711.0224387168882,0.2,0.9147099852561951
1160,,,2402,0,20.092030519999998,3.4,29,,,,,,,,,,,
1200,1.0,-5.0,,,,,,0.008021449,0.0003,-0.04593229293823242,290,484.2294921875,-3.9875181704759597,0.15750000290572644,-0.014242530373521767,540.210115814209,0.2,0.9154852628707886
1200,,,2440,0,21.19155832,3.4,30,,,,,,,,,,,
1240,3.0,7.4414074420928955,,,,,,0.0054422813,0.0003,0.045772016048431396,300,620.53857421875,-3.985446611046791,0.05000000074505806,-0.013081819078288393,841.7450080871582,0.2,0.913851261138916
1240,,,2518,0,22.77471107000001,3.3,31,,,,,,,,,,,
1280,4.0,-4.536325216293335,,,,,,0.022570778,0.0003,0.008626401424407959,310,669.26123046875,-3.9815498650074006,0.40250000935047864,-0.027133389931113916,1331.971732711792,0.2,0.913475751876831
1280,,,2614,0,23.777632429999997,3.36,32,,,,,,,,,,,
1320,5.0,-15.584242343902588,,,,,,0.020483099,0.0003,0.05380725860595703,320,427.57037353515625,-3.9817406326532363,0.16500000301748513,-0.0307726062668371,566.3192740917206,0.2,0.9136649966239929
1320,,,2655,0,23.451367200000004,3.29,33,,,,,,,,,,,
1360,4.0,-12.504027962684631,,,,,,0.006898148,0.0003,0.039369285106658936,330,611.9024658203125,-3.9805382639169693,0.06250000111758709,-0.007332024938987214,611.4314727783203,0.2,0.912832498550415
1360,,,2691,0,24.00489007,3.37,34,,,,,,,,,,,
1400,5.0,8.44137755036354,,,,,,0.009001843,0.0003,-0.00683748722076416,340,201.96847534179688,-3.9767191380262377,0.210000004991889,-0.025412649366262485,443.81428146362305,0.2,0.9117883443832397
1400,,,2734,0,24.046221879999997,3.35,35,,,,,,,,,,,
1440,2.0,11.099380493164062,,,,,,0.03146532,0.0003,0.01366204023361206,350,296.35064697265625,-3.9776639103889466,0.24250000566244126,-0.026446812109388707,648.325926399231,0.2,0.9130825400352478
1440,,,2833,0,19.903461030000003,3.28,36,,,,,,,,,,,
1480,5.0,69.9999771118164,,,,,,0.017819561,0.0003,-0.006702303886413574,360,297.0467224121094,-3.9768807232379912,0.09000000171363354,-0.0012492605268198177,717.4398315429687,0.2,0.9114791750907898
1480,,,2868,0,22.881195090000002,3.41,37,,,,,,,,,,,
1520,5.0,53.66940677165985,,,,,,0.017496685,0.0003,-0.01970493793487549,370,62.1759147644043,-3.9712129801511766,0.1525000024586916,-0.036520902405536626,725.200846004486,0.2,0.9101121425628662
1520,,,2907,0,25.21025952,3.5,38,,,,,,,,,,,
1560,5.0,72.35749626159668,,,,,,0.0119422,0.0003,0.07095062732696533,380,228.9254913330078,-3.9660816341638565,0.21750000435858965,-0.026196081808921013,672.7504693984986,0.2,0.9079883098602295
