time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/entropy_loss,train/std,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/loss
360,5.0,117.97468972206116,,,,,,0.020124077796936035,-0.03320844565954757,2921.5905338287353,0.0003,-4.202318811416626,0.9810940623283386,0.20750000439584254,0.03159833,0.2,80,382.2688293457031
360,,,820,0,2.9,37.11460797,9,,,,,,,,,,,
400,5.0,-1.8104655742645264,,,,,,-0.014276504516601562,-0.01752424492529826,2523.8691677093507,0.0003,-4.198126006126404,0.980646550655365,0.15000000279396772,0.027323999,0.2,90,324.57159423828125
400,,,926,0,3.02,43.061960469999995,10,,,,,,,,,,,
440,1.0,-5.0,,,,,,0.0018132925033569336,-0.014022742233646569,2350.151190948486,0.0003,-4.195248126983643,0.9790298342704773,0.12000000216066838,0.01876445,0.2,100,2260.773681640625
440,,,948,0,3.04,37.457640960000006,11,,,,,,,,,,,
480,2.0,42.69776916503906,,,,,,-0.02368748188018799,-0.01158955836727955,1405.9334579467773,0.0003,-4.1944031596183775,0.9806966781616211,0.14250000230968,0.009995731,0.2,110,480.748291015625
480,,,984,0,3.0,35.11250973,12,,,,,,,,,,,
520,5.0,151.60204601287842,,,,,,-0.04429769515991211,-0.014166205948531574,516.8139903068543,0.0003,-4.194019150733948,0.9771875739097595,0.12500000204890965,0.013129323,0.2,120,159.08616638183594
520,,,1009,0,2.93,33.815530429999995,13,,,,,,,,,,,
560,1.0,-5.0,,,,,,-0.026984810829162598,-0.021536112588437396,3233.7748668670656,0.0003,-4.180505430698394,0.9743883609771729,0.1875000039115548,0.013064198,0.2,130,1745.1090087890625
560,,,1054,0,2.89,30.512242689999994,14,,,,,,,,,,,
600,5.0,104.71020889282227,,,,,,-0.0037915706634521484,-0.031130901026881475,974.1028270721436,0.0003,-4.177567666769027,0.9736894369125366,0.2625000048428774,0.032756437,0.2,140,1145.6363525390625
600,,,1167,0,2.96,33.84690713,15,,,,,,,,,,,
640,5.0,230.0089626312256,,,,,,-0.0332181453704834,0.006262077085521023,2303.5703460693358,0.0003,-4.177213096618653,0.974524199962616,0.3625000072643161,0.015440948,0.2,150,875.1201782226562
640,,,1272,0,2.99,36.81119254,16,,,,,,,,,,,
680,5.0,43.85451412200928,,,,,,-0.027313947677612305,-0.008862991735963988,3755.340517616272,0.0003,-4.176702725887298,0.9730336666107178,0.027500000409781934,0.004089631,0.2,160,3198.302978515625
680,,,1356,0,2.85,34.24019541,17,,,,,,,,,,,
720,2.0,-10.0,,,,,,0.02290952205657959,-0.03776698729940109,1859.8448150634765,0.0003,-4.1746351480484005,0.9726752638816833,0.23500000461935996,0.046716005,0.2,170,1618.32421875
720,,,1437,0,2.75,36.79957056999999,18,,,,,,,,,,,
760,2.0,-10.0,,,,,,-0.00829458236694336,-0.01977423762291437,1529.5353809356689,0.0003,-4.164745211601257,0.9672386050224304,0.1625000039115548,0.00967467,0.2,180,645.3294677734375
760,,,1541,0,2.73,36.92849286999999,19,,,,,,,,,,,
800,5.0,120.54187440872192,,,,,,-0.07954370975494385,-0.01088941454727319,1138.0106296539307,0.0003,-4.1536903321743015,0.9668900966644287,0.2650000063702464,0.03730527,0.2,190,309.0939025878906
800,,,1658,0,2.75,35.98220499000001,20,,,,,,,,,,,
840,1.0,-5.0,,,,,,-0.04865694046020508,-0.00721966946257453,1146.436122894287,0.0003,-4.158640259504319,0.9693405628204346,0.24500000551342965,0.012126057,0.2,200,708.2998657226562
840,,,1717,0,2.8,37.59528692,21,,,,,,,,,,,
880,3.0,26.931662559509277,,,,,,-0.04739844799041748,-0.0215246842846318,1681.0265392303468,0.0003,-4.157989609241485,0.9673155546188354,0.38500000853091476,0.046058074,0.2,210,1380.310791015625
880,,,1738,0,2.85,37.091863950000004,22,,,,,,,,,,,
920,1.0,-5.0,,,,,,-0.04630756378173828,-0.034692352173442485,3744.7869506835937,0.0003,-4.151248633861542,0.9658724665641785,0.5350000122562051,0.057025343,0.2,220,2127.115234375
920,,,1758,0,2.87,38.443458129999996,23,,,,,,,,,,,
960,5.0,63.52005195617676,,,,,,-0.03832566738128662,-0.022428151498752415,1609.3885765075684,0.0003,-4.146830451488495,0.9626200199127197,0.3475000062957406,0.04815635,0.2,230,994.390869140625
960,,,1789,0,2.88,34.88948499,24,,,,,,,,,,,
1000,1.0,-5.0,,,,,,-0.0017713308334350586,-0.002898498325812393,1291.775993347168,0.0003,-4.13583871126175,0.9600832462310791,0.15500000286847354,0.022740189,0.2,240,1412.047119140625
1000,,,1850,0,2.9,35.027713059999996,25,,,,,,,,,,,
1040,1.0,-5.0,,,,,,-0.0032731294631958008,-0.013641030782091512,2580.8667385101317,0.0003,-4.127670586109161,0.9573254585266113,0.24250000510364772,0.037168168,0.2,250,434.85235595703125
1040,,,1871,0,2.93,38.41221812,26,,,,,,,,,,,
1080,4.0,19.536273956298828,,,,,,-0.0510631799697876,0.008691596888274367,2933.077409362793,0.0003,-4.122941082715988,0.9571268558502197,0.45000001024454833,0.012189251,0.2,260,4260.1904296875
1080,,,1893,0,2.98,43.42862932999999,27,,,,,,,,,,,
1120,3.0,-10.941956102848053,,,,,,-0.005641818046569824,-0.015481063505867499,3883.79178276062,0.0003,-4.122001439332962,0.956857442855835,0.12750000301748515,0.014033375,0.2,270,3456.211181640625
1120,,,1914,0,2.95,46.34709118999999,28,,,,,,,,,,,
1160,2.0,-1.7057263851165771,,,,,,0.03410595655441284,-0.028069143403263296,2003.9804439544678,0.0003,-4.122178328037262,0.9579529762268066,0.31000000741332767,0.028768282,0.2,280,2316.013671875
1160,,,1968,0,3.02,50.30224769,29,,,,,,,,,,,
1200,5.0,125.89818286895752,,,,,,-0.07576799392700195,-0.027899734356287807,2819.644018173218,0.0003,-4.121491217613221,0.9554946422576904,0.2825000064447522,0.024991391,0.2,290,1110.4853515625
1200,,,1990,0,3.07,55.141504690000005,30,,,,,,,,,,,
1240,1.0,-5.0,,,,,,-0.05496644973754883,-5.860570763616124e-05,7106.885265350342,0.0003,-4.115314191579818,0.9554159045219421,0.042500000633299354,0.005681913,0.2,300,2407.378662109375
1240,,,2052,0,3.11,58.972601260000005,31,,,,,,,,,,,
1280,4.0,89.45487225055695,,,,,,-0.0968252420425415,-0.010879573447527945,4395.721591949463,0.0003,-4.115171897411346,0.9548075199127197,0.17750000339001418,0.0076979054,0.2,310,1103.6124267578125
1280,,,2074,0,3.14,838.5545216599999,32,,,,,,,,,,,
1320,2.0,-3.6691465377807617,,,,,,-6.461143493652344e-05,-0.005672641687488067,400619667.3602997,0.0003,-4.110998862981797,0.9528899192810059,0.005000000074505806,0.00479507,0.2,320,1071059072.0
1320,,,2096,0,3.08,834.46991921,33,,,,,,,,,,,
1360,5.0,10.791786193847656,,,,,,-0.012481689453125,-0.020798498623043993,3638.8074310302736,0.0003,-4.10465504527092,0.9514095783233643,0.16500000301748513,0.012588847,0.2,330,1217.37060546875
1360,,,2133,0,3.11,836.4271839800001,34,,,,,,,,,,,
1400,4.0,124.99151039123535,,,,,,-0.04348647594451904,-0.017520790607359227,3051.644167327881,0.0003,-4.098859810829163,0.9493901133537292,0.23250000402331353,0.016327346,0.2,340,2354.19384765625
1400,,,2156,0,3.2,838.6535661499998,35,,,,,,,,,,,
1440,3.0,99.02067565917969,,,,,,-0.06269872188568115,-0.015292151471948045,2292.65531539917,0.0003,-4.095666152238846,0.9492082595825195,0.17750000413507222,0.025908958,0.2,350,2225.82177734375
1440,,,2181,0,3.12,838.2179810099999,36,,,,,,,,,,,
