time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/loss,train/std
0,1,40,2.9070461666666665,181,2.2222222222222223,,,,,,,,,,,
0,2,80,5.672353542857143,201,2.2,-4.25269723534584,0.2,0.0003,-0.035602022618695627,-0.003930807113647461,0.22000000402331352,10,0.015688213,515.1196680545806,190.0545196533203,0.9973913431167603
0,3,120,4.401871833333334,326,2.4166666666666665,-4.248209166526794,0.2,0.0003,-0.033732871701940906,-0.009079694747924805,0.14250000305473803,20,0.023540474,578.043876683712,315.3968200683594,0.9972971677780151
0,4,160,11.437947163934428,391,2.5737704918032787,-4.2449854671955105,0.2,0.0003,-0.047696995115547904,0.0009959936141967773,0.3475000074133277,30,0.02972485,240.40039703845977,15.025402069091797,0.9948618412017822
0,5,200,13.729364118421053,442,2.6184210526315788,-4.244028902053833,0.2,0.0003,-0.035590226740023344,0.0006382465362548828,0.2975000062957406,40,0.029750487,3917.5194792985917,1471.0390625,0.9956320524215698
0,6,240,17.600153777777777,537,2.6666666666666665,-4.238264948129654,0.2,0.0003,-0.014953240954855573,0.0007724761962890625,0.09250000156462193,50,0.012579296,895.3482682228089,1027.3001708984375,0.9926223158836365
0,7,280,22.985383810000002,552,2.79,-4.233150660991669,0.2,0.0003,-0.016696334918233323,0.0010789036750793457,0.1325000025331974,60,0.02327139,3597.6204878807066,280.3197937011719,0.9912694692611694
0,8,320,29.09852377,603,2.8,-4.229617661237716,0.2,0.0003,-0.019169300773937727,0.005381762981414795,0.037500000558793545,70,0.007808994,3604.5379802703856,2418.791748046875,0.9910101890563965
0,9,360,33.02707241,720,2.92,-4.229132640361786,0.2,0.0003,-0.01030518041097821,0.02897089719772339,0.037500000558793545,80,0.007145852,3948.2201433181763,170.6319122314453,0.9907641410827637
0,10,400,37.07724837999999,739,2.95,-4.229820668697357,0.2,0.0003,-0.02734646270124359,-0.011288285255432129,0.24750000573694705,90,0.018462233,1515.9444847106934,1248.947021484375,0.9919580817222595
