eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/std,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss
1.0,5000,-5.0,,,,,,,,,,,,,,,,
1.0,5100,-5.0,,,,,,,,,,,,,,,,
,5120,,7431,16,4.93,0,414.52323266999997,,,,,,,,,,,
1.0,5200,-5.0,,,,,,0.9766132235527039,0.0084667215,120099.15625,160,0.0003,-0.012002896038493426,0.2,0.08687500169035048,-0.015924811363220215,248695.6619140625,-4.186994475126267
11.0,5300,845.8880615234375,,,,,,,,,,,,,,,,
9.0,5400,304.4185400009155,,,,,,,,,,,,,,,,
,5440,,7957,17,4.51,0,309.83921003,,,,,,,,,,,
4.0,5500,114.55599212646484,,,,,,0.9751789569854736,0.005463395,127655.640625,170,0.0003,-0.003690586787997674,0.2,0.005937500111758709,0.03153461217880249,242139.25654296874,-4.184010109305381
10.0,5600,1556.2052764892578,,,,,,,,,,,,,,,,
3.0,5700,16.973278045654297,,,,,,,,,,,,,,,,
,5760,,8380,18,5.02,0,381.7258238,,,,,,,,,,,
3.0,5800,26.376306533813477,,,,,,0.9739141464233398,0.0131847495,89401.625,180,0.0003,-0.016906457728788384,0.2,0.1209375023143366,-0.0075304508209228516,199434.268359375,-4.1794638395309445
7.0,5900,347.38961601257324,,,,,,,,,,,,,,,,
4.0,6000,144.27940368652344,,,,,,,,,,,,,,,,
,6080,,8546,19,5.47,0,458.75930493,,,,,,,,,,,
11.0,6100,1326.5772171020508,,,,,,0.9716305732727051,0.008457921,102194.5078125,190,0.0003,-0.013328917039018506,0.2,0.10125000211410225,0.0036083459854125977,226229.66577148438,-4.173641273379326
4.0,6200,320.70870208740234,,,,,,,,,,,,,,,,
8.0,6300,411.8431363105774,,,,,,,,,,,,,,,,
20.0,6400,1980.1363787651062,,,,,,,,,,,,,,,,
,6400,,8842,20,4.74,0,393.79491834,,,,,,,,,,,
9.0,6500,845.9897346496582,,,,,,0.9694206118583679,0.003234477,181037.75,200,0.0003,-0.004697218038819529,0.2,0.02156250036787242,0.019244670867919922,314381.4809082031,-4.1671859443187715
7.0,6600,821.8690600395203,,,,,,,,,,,,,,,,
18.0,6700,1176.2964820861816,,,,,,,,,,,,,,,,
,6720,,9085,21,5.08,0,443.17630106,,,,,,,,,,,
6.0,6800,576.3760032653809,,,,,,0.9689226150512695,0.0062172594,107575.3671875,210,0.0003,-0.0090693691754268,0.2,0.045312500838190314,-0.007224440574645996,369719.35942382814,-4.162501654028892
20.0,6900,1963.2155151367188,,,,,,,,,,,,,,,,
9.0,7000,953.6473922729492,,,,,,,,,,,,,,,,
,7040,,9375,22,5.75,0,519.86807494,,,,,,,,,,,
12.0,7100,1107.3175926208496,,,,,,0.9683589935302734,0.010697883,167994.875,220,0.0003,-0.014402759067043292,0.2,0.12125000210944563,-0.08580327033996582,277344.8060058594,-4.16098150908947
2.0,7200,-10.0,,,,,,,,,,,,,,,,
20.0,7300,1585.3817205429077,,,,,,,,,,,,,,,,
,7360,,9704,23,5.84,0,508.46172270000005,,,,,,,,,,,
7.0,7400,454.9043997488916,,,,,,0.9667057991027832,0.0032450473,132106.078125,230,0.0003,-0.00674456058782198,0.2,0.040625000721774995,-0.01024925708770752,308818.1185058594,-4.1577799081802365
10.0,7500,896.3630332946777,,,,,,,,,,,,,,,,
4.0,7600,294.9381408691406,,,,,,,,,,,,,,,,
,7680,,10023,24,5.05,0,400.3936994200001,,,,,,,,,,,
11.0,7700,1026.287254333496,,,,,,0.9655420184135437,0.008890742,105213.890625,240,0.0003,-0.005848573794878575,0.2,0.029375000600703062,-0.04003727436065674,189792.07631835938,-4.153186747431755
17.0,7800,1336.6308965682983,,,,,,,,,,,,,,,,
6.0,7900,384.78271102905273,,,,,,,,,,,,,,,,
11.0,8000,1020.7761077880859,,,,,,,,,,,,,,,,
,8000,,10226,25,5.67,0,499.5882384,,,,,,,,,,,
7.0,8100,851.6673774719238,,,,,,0.9638552665710449,0.0042194477,230135.34375,250,0.0003,-0.006229152903469526,0.2,0.04437500087078661,-0.019800543785095215,354308.9784179687,-4.149059304594994
20.0,8200,3732.940559387207,,,,,,,,,,,,,,,,
7.0,8300,714.669924736023,,,,,,,,,,,,,,,,
,8320,,10379,26,6.78,0,632.5745344600001,,,,,,,,,,,
12.0,8400,1138.045351833105,,,,,,0.9611436128616333,0.00947598,115410.703125,260,0.0003,-0.007562695309184164,0.2,0.07062500140164048,0.017719924449920654,367027.00732421875,-4.1411409199237825
17.0,8500,2248.37455368042,,,,,,,,,,,,,,,,
9.0,8600,616.4291324615479,,,,,,,,,,,,,,,,
,8640,,10616,27,7.17,0,676.30716918,,,,,,,,,,,
13.0,8700,1154.3450374603271,,,,,,0.9588300585746765,0.011178091,144151.0625,270,0.0003,-0.009683801406390557,0.2,0.08093750146217644,-0.03892314434051514,309137.988671875,-4.134199801087379
