time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/value_loss
320,301.1674975757576,1,178,1,9.545454545454545,,,,,,,,,,,
640,250.2271201447369,2,355,1,8.355263157894736,0.2,0.9901998043060303,-4.241499143838882,-0.005724111150266253,-0.0010296106338500977,0.0003,0.008973639,34054.23828125,0.0818750015925616,10,46019.627740478514
960,248.64288122999994,3,597,1,8.19,0.2,0.9797407388687134,-4.209769955277443,-0.017032045049090817,-0.0006068944931030273,0.0003,0.008009778,14031.76953125,0.16500000280793756,20,24734.392520141602
1280,246.15091834999996,4,770,1,8.11,0.2,0.9730807542800903,-4.184398195147514,-0.014032120113952263,0.008884012699127197,0.0003,0.008792656,17276.3046875,0.14187500246334822,30,26482.164196777343
1600,272.30122274000007,5,984,1,8.49,0.2,0.9732910990715027,-4.174551111459732,-0.008226064786980469,0.004429876804351807,0.0003,0.011257345,21990.1640625,0.12375000237952918,40,30318.737911987304
1920,265.77891109000007,6,1223,1,8.22,0.2,0.9702719449996948,-4.170350030064583,-0.0028285176074314133,0.011629045009613037,0.0003,0.0022952952,11933.689453125,0.03062500066589564,50,38628.062670898435
2240,272.78526062000003,7,1290,1,8.6,0.2,0.9676388502120972,-4.16313034594059,-0.0029543217840546252,0.008526146411895752,0.0003,0.004917926,8715.6298828125,0.025937500433064996,60,22964.81915893555
2560,300.41927,8,1378,1,9.24,0.2,0.9703185558319092,-4.165317103266716,0.019702871275544577,0.028133034706115723,0.0003,0.003688106,14877.005859375,0.2540625038789585,70,22719.963452148437
2880,314.26282994,9,1533,1,9.51,0.2,0.969255805015564,-4.165314269065857,-0.000188456819341809,0.016078829765319824,0.0003,0.0055781566,18180.330078125,0.07312500143889338,80,28071.389886474608
3200,293.16495934,10,1601,1,8.99,0.2,0.9563600420951843,-4.141277915239334,-0.003912614675027726,0.04418069124221802,0.0003,0.0074924724,14815.583984375,0.14562500189058483,90,27069.535693359376
3520,291.37233723,11,1759,2,8.74,0.2,0.959624707698822,-4.126526510715484,-0.005317181100272139,-0.06662249565124512,0.0003,0.010878626,16261.8564453125,0.09062500179279595,100,28889.889099121094
3840,269.66452781,12,1833,2,8.18,0.2,0.9528113603591919,-4.122936514019966,-0.004639971981996493,0.0015013813972473145,0.0003,0.009039917,18427.376953125,0.16000000280328094,110,33192.53317260742
4160,272.24993439,13,1923,2,8.68,0.2,0.9512040615081787,-4.109407725930214,-0.010296160628586227,0.03735983371734619,0.0003,0.01228801,7953.853515625,0.1112500021699816,120,20943.88275756836
4480,272.48565977999993,14,1997,2,8.86,0.2,0.9478890895843506,-4.100125187635422,0.002275680040594352,0.006533801555633545,0.0003,0.0016343024,10590.0634765625,0.08906250139698386,130,25097.42377319336
4800,274.43859481,15,2065,2,8.67,0.2,0.9487695693969727,-4.0987657606601715,-0.005778144618377612,0.0307883620262146,0.0003,0.0059269373,15941.90625,0.10593750211410224,140,25527.369079589844
5120,259.87023680000004,16,2275,2,8.61,0.2,0.9442046880722046,-4.0913021504879,-0.0017739887933112207,-0.021532773971557617,0.0003,0.00885609,12322.7470703125,0.05687500103376806,150,30671.113879394532
5440,278.40368294,17,2383,2,9.26,0.2,0.9480442404747009,-4.087302336096764,0.011054868415685638,-0.019940614700317383,0.0003,0.0740566,9700.701171875,0.1559375035110861,160,18163.613214111327
