eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/clip_range,train/explained_variance,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction
-15.0,3.0,40,,,,,,,,,,,,,,,,
,,40,1,27,2.5,-3.37486425,1,,,,,,,,,,,
-5.0,1.0,80,,,,,,0.0003,0.2,0.0647692084312439,0.9993901252746582,-0.01036640589270974,-4.256206113100052,18.371097564697266,86.01657319068909,10,0.013448536,0.1450000023469329
,,80,1,54,2.2857142857142856,-4.404766771428571,2,,,,,,,,,,,
-19.888046145439148,5.0,120,,,,,,0.0003,0.2,0.02336961030960083,0.9973715543746948,-0.0351267295168509,-4.252000653743744,20.3845272064209,34.312946408614515,20,0.012638397,0.23250000476837157
,,120,1,79,2.4285714285714284,-4.73476112244898,3,,,,,,,,,,,
5.768572807312012,2.0,160,,,,,,0.0003,0.2,0.0702924132347107,0.9935694932937622,-0.03246902466577012,-4.241107791662216,39.637657165527344,84.21416624616832,30,0.02926984,0.2900000063702464
,,160,1,157,2.622950819672131,-4.622825360655738,4,,,,,,,,,,,
37.04351758956909,5.0,200,,,,,,0.0003,0.2,-0.01113581657409668,0.9902950525283813,-0.0051296885778356225,-4.232235926389694,55.283416748046875,132.03712345361708,40,0.010668745,0.06000000089406967
,,200,0,241,2.689189189189189,-2.967679527027027,5,,,,,,,,,,,
-1.1895534992218018,2.0,240,,,,,,0.0003,0.2,-0.008712172508239746,0.9919177889823914,-0.010107988378586018,-4.230110901594162,48.29253005981445,441.0137355297804,50,0.0068286955,0.18000000324100257
,,240,0,262,2.7471264367816093,-1.9888841839080464,6,,,,,,,,,,,
4.11838960647583,4.0,280,,,,,,0.0003,0.2,-0.00994861125946045,0.9901469945907593,-0.016275267355376856,-4.230225592851639,28.145841598510742,88.06005516052247,60,0.0075236815,0.13500000294297934
,,280,0,286,2.836734693877551,-1.6234613265306121,7,,,,,,,,,,,
-5.990574836730957,3.0,320,,,,,,0.0003,0.2,0.013461470603942871,0.9850015044212341,-0.010484306641451436,-4.219369912147522,22.046695709228516,114.62128739356994,70,0.0051869843,0.04000000059604645
,,320,0,414,2.91,-0.9976378800000002,8,,,,,,,,,,,
